"","decimallongitude","decimallatitude","date_year","scientificname","coordinateuncertaintyinmeters","bathymetry","sst","sss"
"4514",52.889,24.703,2017,"Chelonia mydas",111.32,15,27.85,38.65
"4515",52.912,24.662,2017,"Chelonia mydas",111.32,10,27.86,38.64
"4516",52.888,24.642,2017,"Chelonia mydas",111.32,12,27.86,38.64
"4517",52.906,24.661,2017,"Chelonia mydas",111.32,10,27.86,38.64
"4518",52.907,24.663,2017,"Chelonia mydas",111.32,10,27.86,38.64
"4519",53.039,24.657,2017,"Chelonia mydas",111.32,6,27.91,38.67
"4520",53.045,24.649,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4521",52.949,24.645,2017,"Chelonia mydas",111.32,12,27.89,38.66
"4522",53.054,24.617,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4523",53.044,24.634,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4524",53.066,24.63,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4525",53.058,24.636,2017,"Chelonia mydas",111.32,2,27.91,38.67
"4526",53.047,24.628,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4527",53.198,24.809,2016,"Chelonia mydas",111.32,14,27.9,38.73
"4528",53.382,24.89,2016,"Chelonia mydas",111.32,15,27.97,38.73
"4529",53.339,25.12,2016,"Chelonia mydas",111.32,20,27.96,38.64
"4530",53.513,25.169,2016,"Chelonia mydas",111.32,29,28.04,38.61
"4531",53.836,25.211,2016,"Chelonia mydas",111.32,34,28.14,38.61
"4532",53.845,25.254,2016,"Chelonia mydas",111.32,29,28.14,38.6
"4533",53.545,25.465,2016,"Chelonia mydas",111.32,29,28.04,38.52
"4534",53.76,25.504,2016,"Chelonia mydas",111.32,23,28.13,38.51
"4535",54.107,25.462,2016,"Chelonia mydas",111.32,35,28.21,38.55
"4536",54.235,25.482,2016,"Chelonia mydas",111.32,37,28.22,38.56
"4537",54.399,25.591,2016,"Chelonia mydas",111.32,47,28.28,38.53
"4538",54.482,25.705,2016,"Chelonia mydas",111.32,52,28.27,38.51
"4539",54.518,25.761,2016,"Chelonia mydas",111.32,56,28.26,38.49
"4540",54.716,25.789,2016,"Chelonia mydas",111.32,55,28.26,38.53
"4541",54.931,25.971,2016,"Chelonia mydas",111.32,73,28.18,38.32
"4542",54.928,26.066,2016,"Chelonia mydas",111.32,79,28.11,38.2
"4543",54.882,26.186,2016,"Chelonia mydas",111.32,79,28.07,37.75
"4544",54.596,26.128,2016,"Chelonia mydas",111.32,80,28.16,38.02
"4545",54.201,26.135,2016,"Chelonia mydas",111.32,87,28.14,38.21
"4546",54.205,26.137,2016,"Chelonia mydas",111.32,87,28.14,38.21
"4547",53.805,26.152,2016,"Chelonia mydas",111.32,79,28.1,38.32
"4548",53.611,26.241,2016,"Chelonia mydas",111.32,80,28.05,38.25
"4549",53.381,26.295,2016,"Chelonia mydas",111.32,83,27.98,38.3
"4550",53.321,26.216,2016,"Chelonia mydas",111.32,23,27.97,38.37
"4551",53.261,26.14,2016,"Chelonia mydas",111.32,63,27.95,38.41
"4552",53.195,26.015,2016,"Chelonia mydas",111.32,63,27.9,38.44
"4553",52.941,26.072,2016,"Chelonia mydas",111.32,66,27.81,38.44
"4554",53.019,25.954,2016,"Chelonia mydas",111.32,49,27.85,38.45
"4555",52.849,25.611,2016,"Chelonia mydas",111.32,37,27.76,38.49
"4556",52.9,25.579,2016,"Chelonia mydas",111.32,22,27.75,38.52
"4557",55.443,25.662,2016,"Chelonia mydas",111.32,25,28.22,38.82
"4558",55.379,25.654,2016,"Chelonia mydas",111.32,31,28.23,38.84
"4559",55.125,25.604,2016,"Chelonia mydas",111.32,21,28.28,38.76
"4560",54.891,25.545,2016,"Chelonia mydas",111.32,34,28.29,38.77
"4561",54.813,25.534,2016,"Chelonia mydas",111.32,37,28.3,38.72
"4562",54.688,25.487,2016,"Chelonia mydas",111.32,33,28.3,38.74
"4563",54.595,25.478,2016,"Chelonia mydas",111.32,36,28.3,38.69
"4564",54.448,25.414,2016,"Chelonia mydas",111.32,29,28.27,38.69
"4565",54.245,25.25,2016,"Chelonia mydas",111.32,22,28.2,38.66
"4566",54.167,25.156,2016,"Chelonia mydas",111.32,22,28.2,38.73
"4567",53.952,24.766,2016,"Chelonia mydas",111.32,11,28.12,38.83
"4568",53.865,24.743,2016,"Chelonia mydas",111.32,18,28.1,38.82
"4569",53.683,24.35,2016,"Chelonia mydas",111.32,7,28.04,38.8
"4570",53.692,24.239,2016,"Chelonia mydas",111.32,16,27.99,38.79
"4571",53.686,24.23,2016,"Chelonia mydas",111.32,19,27.99,38.79
"4572",53.661,24.213,2016,"Chelonia mydas",111.32,20,28,38.76
"4573",53.68,24.249,2016,"Chelonia mydas",111.32,16,27.99,38.79
"4574",53.706,24.226,2016,"Chelonia mydas",111.32,9,27.99,38.79
"4575",53.717,24.245,2016,"Chelonia mydas",111.32,20,27.99,38.79
"4576",53.716,24.248,2016,"Chelonia mydas",111.32,19,27.99,38.79
"4577",53.706,24.247,2016,"Chelonia mydas",111.32,20,27.99,38.79
"4578",53.68,24.253,2016,"Chelonia mydas",111.32,14,28.03,38.79
"4579",53.69,24.243,2016,"Chelonia mydas",111.32,18,27.99,38.79
"4580",53.715,24.246,2016,"Chelonia mydas",111.32,19,27.99,38.79
"4581",53.696,24.242,2016,"Chelonia mydas",111.32,18,27.99,38.79
"4582",53.717,24.242,2016,"Chelonia mydas",111.32,20,27.99,38.79
"4583",53.709,24.244,2016,"Chelonia mydas",111.32,19,27.99,38.79
"4584",53.716,24.243,2016,"Chelonia mydas",111.32,19,27.99,38.79
"4585",53.717,24.245,2016,"Chelonia mydas",111.32,20,27.99,38.79
"4586",53.719,24.25,2016,"Chelonia mydas",111.32,20,27.99,38.79
"4587",53.719,24.255,2016,"Chelonia mydas",111.32,19,28.03,38.79
"4588",53.711,24.244,2016,"Chelonia mydas",111.32,19,27.99,38.79
"4589",53.715,24.247,2016,"Chelonia mydas",111.32,19,27.99,38.79
"4590",53.712,24.25,2016,"Chelonia mydas",111.32,19,27.99,38.79
"4591",53.713,24.239,2016,"Chelonia mydas",111.32,13,27.99,38.79
"4592",53.673,24.246,2016,"Chelonia mydas",111.32,15,27.99,38.79
"4593",53.697,24.261,2016,"Chelonia mydas",111.32,14,28.03,38.79
"4594",53.704,24.264,2016,"Chelonia mydas",111.32,16,28.03,38.79
"4595",53.726,24.312,2016,"Chelonia mydas",111.32,8,28.03,38.79
"4596",53.714,24.253,2016,"Chelonia mydas",111.32,18,28.03,38.79
"4597",53.027,24.652,2016,"Chelonia mydas",111.32,9,27.91,38.67
"4598",53.088,24.669,2016,"Chelonia mydas",111.32,7,27.92,38.71
"4599",53.113,24.599,2016,"Chelonia mydas",111.32,2,27.93,38.71
"4600",53.141,24.645,2016,"Chelonia mydas",111.32,8,27.93,38.71
"4601",53.085,24.603,2016,"Chelonia mydas",111.32,2,27.93,38.71
"4602",53.064,24.659,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4603",53.087,24.67,2016,"Chelonia mydas",111.32,7,27.92,38.71
"4604",53.045,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
