"","decimallongitude","decimallatitude","date_year","scientificname","coordinateuncertaintyinmeters","bathymetry","sst","sss"
"75",39.82741,-3.82979,2012,"Chelonia mydas",1.11,-4,NA,NA
"76",39.83857,-3.84885,2012,"Chelonia mydas",1.11,52,27.17,34.8
"77",39.81989,-3.84417,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"78",39.82191,-3.84151,2012,"Chelonia mydas",1.11,-12,27.19,34.79
"79",39.8232,-3.83576,2012,"Chelonia mydas",1.11,-12,27.19,34.79
"80",39.83441,-3.81657,2012,"Chelonia mydas",1.11,13,27.16,34.82
"81",39.79355,-3.88762,2012,"Chelonia mydas",1.11,-13,27.19,34.79
"82",39.80905,-3.84291,2012,"Chelonia mydas",1.11,-17,27.19,34.79
"83",39.85353,-3.65182,2012,"Chelonia mydas",1.11,-22,27.09,34.81
"84",39.81242,-3.91584,2012,"Chelonia mydas",1.11,129,27.19,34.79
"85",39.86396,-3.66353,2012,"Chelonia mydas",1.11,-20,27.09,34.81
"86",39.81139,-3.84309,2012,"Chelonia mydas",1.11,-17,27.19,34.79
"87",39.82745,-3.82971,2012,"Chelonia mydas",1.11,-4,NA,NA
"88",39.81903,-3.8368,2012,"Chelonia mydas",1.11,-12,27.19,34.79
"89",40.01501,-3.44397,2012,"Chelonia mydas",1.11,222,27.12,34.82
"90",40.03143,-3.40962,2012,"Chelonia mydas",1.11,151,27.1,34.82
"91",39.83421,-3.83241,2012,"Chelonia mydas",1.11,16,27.16,34.82
"92",39.83866,-3.83171,2012,"Chelonia mydas",1.11,16,27.16,34.82
"93",39.85135,-3.82218,2012,"Chelonia mydas",1.11,48,27.16,34.82
"94",39.82463,-3.81779,2012,"Chelonia mydas",1.11,-15,NA,NA
"95",39.79356,-3.89381,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"96",39.84402,-3.82603,2012,"Chelonia mydas",1.11,29,27.16,34.82
"97",39.72716,-4.00841,2012,"Chelonia mydas",1.11,-1,27.21,34.77
"98",39.75651,-3.95795,2012,"Chelonia mydas",1.11,-12,27.21,34.78
"99",39.81792,-3.87883,2012,"Chelonia mydas",1.11,63,27.19,34.79
"100",40.09859,-3.33357,2012,"Chelonia mydas",1.11,6,27.07,34.83
"101",39.82887,-3.81595,2012,"Chelonia mydas",1.11,-12,NA,NA
"102",39.82558,-3.86657,2012,"Chelonia mydas",1.11,94,27.19,34.79
"103",39.8153,-3.89776,2012,"Chelonia mydas",1.11,34,27.19,34.79
"104",39.82866,-3.83139,2012,"Chelonia mydas",1.11,-4,NA,NA
"105",39.82617,-3.82738,2012,"Chelonia mydas",1.11,-4,NA,NA
"106",39.82855,-3.82949,2012,"Chelonia mydas",1.11,-4,NA,NA
"107",39.88874,-3.80689,2012,"Chelonia mydas",1.11,355,27.16,34.82
"108",39.82135,-3.80955,2012,"Chelonia mydas",1.11,-18,NA,NA
"109",40.00154,-3.47946,2012,"Chelonia mydas",1.11,251,27.12,34.82
"110",39.82625,-3.83232,2012,"Chelonia mydas",1.11,-4,NA,NA
"111",39.83037,-3.82728,2012,"Chelonia mydas",1.11,-4,NA,NA
"112",39.95693,-3.4995,2012,"Chelonia mydas",1.11,49,27.1,34.8
"113",39.83886,-3.80841,2012,"Chelonia mydas",1.11,13,27.16,34.82
"114",39.82287,-3.83306,2012,"Chelonia mydas",1.11,-15,NA,NA
"115",40.01777,-3.42823,2012,"Chelonia mydas",1.11,200,27.12,34.82
"116",39.82704,-3.84616,2012,"Chelonia mydas",1.11,20,27.19,34.79
"117",39.83329,-3.79991,2012,"Chelonia mydas",1.11,-13,NA,NA
"118",39.83194,-3.83513,2012,"Chelonia mydas",1.11,9,27.19,34.79
"119",39.82629,-3.82759,2012,"Chelonia mydas",1.11,-4,NA,NA
"120",40.02332,-3.43179,2012,"Chelonia mydas",1.11,200,27.12,34.82
"121",39.90541,-3.80271,2012,"Chelonia mydas",1.11,399,27.16,34.82
"122",39.84918,-3.81635,2012,"Chelonia mydas",1.11,34,27.16,34.82
"123",39.86171,-3.83543,2012,"Chelonia mydas",1.11,133,27.17,34.8
"124",39.84222,-3.80666,2012,"Chelonia mydas",1.11,57,27.16,34.82
"125",39.95851,-3.54769,2012,"Chelonia mydas",1.11,215,27.12,34.8
"126",40.01022,-3.45686,2012,"Chelonia mydas",1.11,235,27.12,34.82
"127",39.81134,-3.83644,2012,"Chelonia mydas",1.11,-19,27.19,34.79
"128",39.82195,-3.85239,2012,"Chelonia mydas",1.11,18,27.19,34.79
"129",39.84414,-3.83363,2012,"Chelonia mydas",1.11,52,27.17,34.8
"130",39.821,-3.84907,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"131",39.8208,-3.90157,2012,"Chelonia mydas",1.11,80,27.19,34.79
"132",39.83087,-3.81798,2012,"Chelonia mydas",1.11,-9,NA,NA
"133",39.82353,-3.83438,2012,"Chelonia mydas",1.11,-12,27.19,34.79
"134",39.8205,-3.90341,2012,"Chelonia mydas",1.11,80,27.19,34.79
"135",39.93931,-3.58889,2012,"Chelonia mydas",1.11,142,27.13,34.81
"136",39.85991,-3.83034,2012,"Chelonia mydas",1.11,111,27.16,34.82
"137",39.82333,-3.84174,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"138",39.81678,-3.90222,2012,"Chelonia mydas",1.11,80,27.19,34.79
"139",39.8568,-3.81302,2012,"Chelonia mydas",1.11,79,27.16,34.82
"140",39.83983,-3.80973,2012,"Chelonia mydas",1.11,13,27.16,34.82
"141",39.79308,-3.89622,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"142",39.81098,-3.89068,2012,"Chelonia mydas",1.11,18,27.19,34.79
"143",39.80692,-3.89858,2012,"Chelonia mydas",1.11,24,27.19,34.79
"144",39.86381,-3.80447,2012,"Chelonia mydas",1.11,157,27.16,34.82
"145",39.83798,-3.8235,2012,"Chelonia mydas",1.11,4,27.16,34.82
"146",39.81433,-3.84183,2012,"Chelonia mydas",1.11,-17,27.19,34.79
"147",39.8371,-3.80953,2012,"Chelonia mydas",1.11,13,27.16,34.82
"148",39.83388,-3.84213,2012,"Chelonia mydas",1.11,52,27.17,34.8
"149",39.82807,-3.83362,2012,"Chelonia mydas",1.11,9,27.19,34.79
"150",39.62549,-4.34057,2012,"Chelonia mydas",1.11,386,27.23,34.8
"151",39.84939,-3.79448,2012,"Chelonia mydas",1.11,56,27.16,34.82
"152",39.84898,-3.82371,2012,"Chelonia mydas",1.11,3,27.16,34.82
"153",39.86091,-3.82154,2012,"Chelonia mydas",1.11,83,27.16,34.82
"154",39.82231,-3.84322,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"155",39.86071,-3.83035,2012,"Chelonia mydas",1.11,111,27.16,34.82
"156",39.83533,-3.83017,2012,"Chelonia mydas",1.11,16,27.16,34.82
"157",39.81888,-3.83159,2012,"Chelonia mydas",1.11,-15,NA,NA
"158",39.84937,-3.64984,2012,"Chelonia mydas",1.11,-27,27.09,34.81
"159",39.87348,-3.7166,2012,"Chelonia mydas",1.11,9,27.13,34.81
"160",39.56952,-4.42994,2012,"Chelonia mydas",1.11,114,27.25,34.78
"161",39.80669,-3.84311,2012,"Chelonia mydas",1.11,-23,27.19,34.79
"162",39.81881,-3.85156,2012,"Chelonia mydas",1.11,18,27.19,34.79
"163",39.81431,-3.82665,2012,"Chelonia mydas",1.11,-21,NA,NA
"164",39.81196,-3.83612,2012,"Chelonia mydas",1.11,-19,27.19,34.79
"165",39.8243,-3.83886,2012,"Chelonia mydas",1.11,-12,27.19,34.79
"166",39.82879,-3.8296,2012,"Chelonia mydas",1.11,-4,NA,NA
"167",39.8319,-3.811,2012,"Chelonia mydas",1.11,-12,NA,NA
"168",39.82199,-3.87481,2012,"Chelonia mydas",1.11,83,27.19,34.79
"169",40.00881,-3.46859,2012,"Chelonia mydas",1.11,252,27.12,34.82
"170",40.11809,-3.35837,2012,"Chelonia mydas",1.11,13,27.07,34.83
"171",39.56428,-4.4683,2012,"Chelonia mydas",1.11,134,27.25,34.78
"172",39.8587,-3.79723,2012,"Chelonia mydas",1.11,146,27.16,34.82
"173",39.86799,-3.65598,2012,"Chelonia mydas",1.11,-1,27.09,34.81
"174",39.84428,-3.63612,2012,"Chelonia mydas",1.11,-11,27.09,34.81
"175",39.83496,-3.83938,2012,"Chelonia mydas",1.11,30,27.17,34.8
"176",39.84378,-3.81833,2012,"Chelonia mydas",1.11,3,27.16,34.82
"177",39.83733,-3.84437,2012,"Chelonia mydas",1.11,52,27.17,34.8
"178",39.68366,-4.1837,2012,"Chelonia mydas",1.11,207,27.22,34.81
"179",39.86857,-3.67143,2012,"Chelonia mydas",1.11,-2,27.13,34.81
"180",39.83776,-3.83404,2012,"Chelonia mydas",1.11,30,27.17,34.8
"181",39.83718,-3.82537,2012,"Chelonia mydas",1.11,16,27.16,34.82
"182",39.94246,-3.57711,2012,"Chelonia mydas",1.11,210,27.12,34.8
"183",39.8989,-3.66813,2012,"Chelonia mydas",1.11,69,27.13,34.81
"184",39.83232,-3.83339,2012,"Chelonia mydas",1.11,9,27.19,34.79
"185",39.93563,-3.49984,2012,"Chelonia mydas",1.11,31,27.1,34.8
"186",39.83321,-3.79077,2012,"Chelonia mydas",1.11,-15,NA,NA
"187",39.79785,-3.89373,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"188",39.83316,-3.83585,2012,"Chelonia mydas",1.11,9,27.19,34.79
"189",39.54442,-4.51062,2012,"Chelonia mydas",1.11,215,27.26,34.78
"190",39.79434,-3.90615,2012,"Chelonia mydas",1.11,20,27.19,34.79
"191",39.83456,-3.83268,2012,"Chelonia mydas",1.11,16,27.16,34.82
"192",39.52847,-4.47794,2012,"Chelonia mydas",1.11,14,27.25,34.78
"193",39.66887,-4.11343,2012,"Chelonia mydas",1.11,2,27.22,34.8
"194",39.83536,-3.81601,2012,"Chelonia mydas",1.11,13,27.16,34.82
"195",39.84049,-3.82414,2012,"Chelonia mydas",1.11,4,27.16,34.82
"196",39.8338,-3.83519,2012,"Chelonia mydas",1.11,30,27.17,34.8
"197",39.79196,-3.90353,2012,"Chelonia mydas",1.11,20,27.19,34.79
"198",39.90446,-3.62804,2012,"Chelonia mydas",1.11,125,27.09,34.81
"199",39.84464,-3.84245,2012,"Chelonia mydas",1.11,86,27.17,34.8
"200",39.82811,-3.83149,2012,"Chelonia mydas",1.11,-4,NA,NA
"201",40.0924,-3.39591,2012,"Chelonia mydas",1.11,43,27.07,34.83
"202",39.85537,-3.84857,2012,"Chelonia mydas",1.11,130,27.17,34.8
"203",39.84536,-3.84648,2012,"Chelonia mydas",1.11,86,27.17,34.8
"204",39.8655,-3.76926,2012,"Chelonia mydas",1.11,88,27.16,34.82
"205",39.81972,-3.85061,2012,"Chelonia mydas",1.11,18,27.19,34.79
"206",39.70238,-4.2061,2012,"Chelonia mydas",1.11,251,27.22,34.81
"207",39.83221,-3.82365,2012,"Chelonia mydas",1.11,-9,NA,NA
"208",39.82272,-3.83264,2012,"Chelonia mydas",1.11,-15,NA,NA
"209",39.84042,-3.80694,2012,"Chelonia mydas",1.11,-1,27.16,34.82
"210",39.83448,-3.81371,2012,"Chelonia mydas",1.11,13,27.16,34.82
"211",39.82664,-3.83151,2012,"Chelonia mydas",1.11,-4,NA,NA
"212",39.86262,-3.7081,2012,"Chelonia mydas",1.11,-12,27.13,34.81
"213",39.92131,-3.62649,2012,"Chelonia mydas",1.11,229,27.13,34.81
"214",39.82849,-3.84026,2012,"Chelonia mydas",1.11,9,27.19,34.79
"215",39.83281,-3.83477,2012,"Chelonia mydas",1.11,9,27.19,34.79
"216",40.00527,-3.4777,2012,"Chelonia mydas",1.11,251,27.12,34.82
"217",39.8434,-3.84198,2012,"Chelonia mydas",1.11,86,27.17,34.8
"218",39.82571,-3.84109,2012,"Chelonia mydas",1.11,9,27.19,34.79
"219",39.88785,-3.6534,2012,"Chelonia mydas",1.11,2,27.09,34.81
"220",39.83908,-3.81953,2012,"Chelonia mydas",1.11,4,27.16,34.82
"221",39.92323,-3.77553,2012,"Chelonia mydas",1.11,401,27.18,34.83
"222",39.82443,-3.83575,2012,"Chelonia mydas",1.11,-12,27.19,34.79
"223",39.82986,-3.82662,2012,"Chelonia mydas",1.11,-4,NA,NA
"224",39.82273,-3.80599,2012,"Chelonia mydas",1.11,-20,NA,NA
"225",39.84205,-3.81735,2012,"Chelonia mydas",1.11,3,27.16,34.82
"226",39.85215,-3.83239,2012,"Chelonia mydas",1.11,66,27.16,34.82
"227",39.84937,-3.84752,2012,"Chelonia mydas",1.11,86,27.17,34.8
"228",39.84457,-3.79378,2012,"Chelonia mydas",1.11,56,27.16,34.82
"229",39.80475,-3.90696,2012,"Chelonia mydas",1.11,48,27.19,34.79
"230",39.83855,-3.8088,2012,"Chelonia mydas",1.11,13,27.16,34.82
"231",39.87017,-3.65104,2012,"Chelonia mydas",1.11,-1,27.09,34.81
"232",39.82607,-3.87888,2012,"Chelonia mydas",1.11,115,27.19,34.79
"233",39.83137,-3.87595,2012,"Chelonia mydas",1.11,115,27.19,34.79
"234",39.81201,-3.88346,2012,"Chelonia mydas",1.11,18,27.19,34.79
"235",39.84408,-3.82687,2012,"Chelonia mydas",1.11,29,27.16,34.82
"236",39.90905,-3.57284,2012,"Chelonia mydas",1.11,14,27.11,34.8
"237",39.86403,-3.67972,2012,"Chelonia mydas",1.11,-13,27.13,34.81
"238",39.82775,-3.83749,2012,"Chelonia mydas",1.11,9,27.19,34.79
"239",39.77059,-3.90582,2012,"Chelonia mydas",1.11,-21,27.19,34.79
"240",39.83728,-3.81963,2012,"Chelonia mydas",1.11,4,27.16,34.82
"241",39.79197,-3.86096,2012,"Chelonia mydas",1.11,-19,27.19,34.79
"242",39.85256,-3.82523,2012,"Chelonia mydas",1.11,66,27.16,34.82
"243",39.79436,-3.87468,2012,"Chelonia mydas",1.11,-18,27.19,34.79
"244",39.95701,-3.48245,2012,"Chelonia mydas",1.11,59,27.1,34.8
"245",39.84143,-3.82135,2012,"Chelonia mydas",1.11,4,27.16,34.82
"246",39.80888,-3.86852,2012,"Chelonia mydas",1.11,43,27.19,34.79
"247",40.0154,-3.43264,2012,"Chelonia mydas",1.11,186,27.12,34.82
"248",39.82001,-3.85742,2012,"Chelonia mydas",1.11,18,27.19,34.79
"249",39.83452,-3.82588,2012,"Chelonia mydas",1.11,16,27.16,34.82
"250",39.84794,-3.85243,2012,"Chelonia mydas",1.11,120,27.17,34.8
"251",39.85412,-3.84681,2012,"Chelonia mydas",1.11,130,27.17,34.8
"252",39.8954,-3.61963,2012,"Chelonia mydas",1.11,76,27.09,34.81
"253",39.8959,-3.61027,2012,"Chelonia mydas",1.11,66,27.09,34.81
"254",39.8491,-3.82651,2012,"Chelonia mydas",1.11,29,27.16,34.82
"255",39.86526,-3.75985,2012,"Chelonia mydas",1.11,77,27.16,34.82
"256",39.85697,-3.80746,2012,"Chelonia mydas",1.11,112,27.16,34.82
"257",39.78428,-3.87979,2012,"Chelonia mydas",1.11,-19,27.19,34.79
"258",40.01853,-3.45495,2012,"Chelonia mydas",1.11,244,27.12,34.82
"259",39.81853,-3.83348,2012,"Chelonia mydas",1.11,-12,27.19,34.79
"260",39.83368,-3.83234,2012,"Chelonia mydas",1.11,16,27.16,34.82
"261",39.83707,-3.82913,2012,"Chelonia mydas",1.11,16,27.16,34.82
"262",39.69895,-4.18858,2012,"Chelonia mydas",1.11,224,27.22,34.81
"263",39.82945,-3.8398,2012,"Chelonia mydas",1.11,9,27.19,34.79
"264",39.82201,-3.8331,2012,"Chelonia mydas",1.11,-15,NA,NA
"265",39.83369,-3.81571,2012,"Chelonia mydas",1.11,13,27.16,34.82
"266",39.86843,-3.68542,2012,"Chelonia mydas",1.11,-3,27.13,34.81
"267",39.81813,-3.83036,2012,"Chelonia mydas",1.11,-15,NA,NA
"268",39.89459,-3.66662,2012,"Chelonia mydas",1.11,57,27.09,34.81
"269",39.82452,-3.84504,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"270",39.81678,-3.9069,2012,"Chelonia mydas",1.11,80,27.19,34.79
"271",39.8348,-3.83014,2012,"Chelonia mydas",1.11,16,27.16,34.82
"272",39.82395,-3.84652,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"273",39.92314,-3.78255,2012,"Chelonia mydas",1.11,401,27.18,34.83
"274",39.82779,-3.81286,2012,"Chelonia mydas",1.11,-12,NA,NA
"275",39.82335,-3.84463,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"276",39.90929,-3.55522,2012,"Chelonia mydas",1.11,11,27.11,34.8
"277",39.79432,-3.88026,2012,"Chelonia mydas",1.11,-17,27.19,34.79
"278",39.84072,-3.81803,2012,"Chelonia mydas",1.11,4,27.16,34.82
"279",39.81274,-3.8381,2012,"Chelonia mydas",1.11,-19,27.19,34.79
"280",39.92974,-3.78466,2012,"Chelonia mydas",1.11,418,27.18,34.83
"281",39.79707,-3.89364,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"282",39.86175,-3.83829,2012,"Chelonia mydas",1.11,133,27.17,34.8
"283",39.82542,-3.83671,2012,"Chelonia mydas",1.11,9,27.19,34.79
"284",39.8375,-3.80925,2012,"Chelonia mydas",1.11,13,27.16,34.82
"285",39.85775,-3.65904,2012,"Chelonia mydas",1.11,-23,27.09,34.81
"286",39.81152,-3.83573,2012,"Chelonia mydas",1.11,-19,27.19,34.79
"287",39.78926,-3.89343,2012,"Chelonia mydas",1.11,-16,27.19,34.79
"288",40.03317,-3.35506,2012,"Chelonia mydas",1.11,6,27.1,34.82
"289",39.82965,-3.87916,2012,"Chelonia mydas",1.11,115,27.19,34.79
"290",39.81519,-3.83944,2012,"Chelonia mydas",1.11,-19,27.19,34.79
"291",39.87499,-3.80141,2012,"Chelonia mydas",1.11,251,27.16,34.82
"292",39.83786,-3.80924,2012,"Chelonia mydas",1.11,13,27.16,34.82
"293",39.80397,-3.8689,2012,"Chelonia mydas",1.11,-11,27.19,34.79
"294",39.55369,-4.48862,2012,"Chelonia mydas",1.11,182,27.25,34.78
"295",39.82504,-3.83093,2012,"Chelonia mydas",1.11,-4,NA,NA
"296",39.84667,-3.82163,2012,"Chelonia mydas",1.11,3,27.16,34.82
"297",39.90421,-3.63009,2012,"Chelonia mydas",1.11,125,27.09,34.81
"298",39.87044,-4.02931,2012,"Chelonia mydas",1.11,379,27.23,34.83
"299",39.82571,-3.82696,2012,"Chelonia mydas",1.11,-4,NA,NA
"300",39.81887,-3.84857,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"301",39.78527,-3.89336,2012,"Chelonia mydas",1.11,-16,27.19,34.79
"302",39.90008,-3.62806,2012,"Chelonia mydas",1.11,125,27.09,34.81
"303",39.83684,-3.83045,2012,"Chelonia mydas",1.11,16,27.16,34.82
"304",39.83023,-3.83671,2012,"Chelonia mydas",1.11,9,27.19,34.79
"305",39.82387,-3.84598,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"306",39.83161,-3.83414,2012,"Chelonia mydas",1.11,9,27.19,34.79
"307",39.83754,-3.80939,2012,"Chelonia mydas",1.11,13,27.16,34.82
"308",39.92297,-3.6208,2012,"Chelonia mydas",1.11,211,27.13,34.81
"309",39.82021,-3.82893,2012,"Chelonia mydas",1.11,-15,NA,NA
"310",39.85563,-3.82392,2012,"Chelonia mydas",1.11,48,27.16,34.82
"311",39.79757,-3.89479,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"312",39.82863,-3.83984,2012,"Chelonia mydas",1.11,9,27.19,34.79
"313",39.82053,-3.90322,2012,"Chelonia mydas",1.11,80,27.19,34.79
"314",39.82198,-3.8327,2012,"Chelonia mydas",1.11,-15,NA,NA
"315",39.85588,-3.79202,2012,"Chelonia mydas",1.11,136,27.16,34.82
"316",39.90917,-3.62539,2012,"Chelonia mydas",1.11,184,27.09,34.81
"317",39.85206,-3.7959,2012,"Chelonia mydas",1.11,136,27.16,34.82
"318",39.82908,-3.8647,2012,"Chelonia mydas",1.11,94,27.19,34.79
"319",39.83032,-3.82543,2012,"Chelonia mydas",1.11,-4,NA,NA
"320",39.85381,-3.79681,2012,"Chelonia mydas",1.11,136,27.16,34.82
"321",39.86511,-3.77437,2012,"Chelonia mydas",1.11,88,27.16,34.82
"322",39.83753,-3.81705,2012,"Chelonia mydas",1.11,4,27.16,34.82
"323",39.89114,-3.66734,2012,"Chelonia mydas",1.11,8,27.13,34.81
"324",39.94715,-3.49196,2012,"Chelonia mydas",1.11,61,27.1,34.8
"325",39.84216,-3.80218,2012,"Chelonia mydas",1.11,57,27.16,34.82
"326",39.8189,-3.84373,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"327",39.82891,-3.82673,2012,"Chelonia mydas",1.11,-4,NA,NA
"328",39.50595,-4.50787,2012,"Chelonia mydas",1.11,2,27.26,34.78
"329",39.66576,-4.0936,2012,"Chelonia mydas",1.11,-21,27.18,34.8
"330",39.85527,-3.79276,2012,"Chelonia mydas",1.11,136,27.16,34.82
"331",39.60424,-4.3849,2012,"Chelonia mydas",1.11,207,27.23,34.8
"332",39.81891,-3.82415,2012,"Chelonia mydas",1.11,-15,NA,NA
"333",39.8345,-3.82616,2012,"Chelonia mydas",1.11,16,27.16,34.82
"334",39.83281,-3.82589,2012,"Chelonia mydas",1.11,-4,NA,NA
"335",39.80918,-3.84505,2012,"Chelonia mydas",1.11,-17,27.19,34.79
"336",39.84571,-3.82714,2012,"Chelonia mydas",1.11,29,27.16,34.82
"337",39.8479,-3.79802,2012,"Chelonia mydas",1.11,56,27.16,34.82
"338",39.79909,-3.90933,2012,"Chelonia mydas",1.11,29,27.19,34.79
"339",39.86006,-3.64996,2012,"Chelonia mydas",1.11,-12,27.09,34.81
"340",39.79777,-3.89847,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"341",39.79789,-3.88789,2012,"Chelonia mydas",1.11,-13,27.19,34.79
"342",39.90274,-3.59281,2012,"Chelonia mydas",1.11,40,27.09,34.81
"343",39.88989,-3.60149,2012,"Chelonia mydas",1.11,-1,27.09,34.81
"344",39.89818,-3.66612,2012,"Chelonia mydas",1.11,57,27.09,34.81
"345",39.87186,-3.7567,2012,"Chelonia mydas",1.11,166,27.16,34.82
"346",39.90797,-3.56148,2012,"Chelonia mydas",1.11,-3,27.11,34.8
"347",39.83785,-3.81717,2012,"Chelonia mydas",1.11,4,27.16,34.82
"348",39.79898,-3.91232,2012,"Chelonia mydas",1.11,29,27.19,34.79
"349",39.81451,-3.83084,2012,"Chelonia mydas",1.11,-21,NA,NA
"350",39.92575,-3.5066,2012,"Chelonia mydas",1.11,59,27.12,34.8
"351",39.83217,-3.81498,2012,"Chelonia mydas",1.11,-12,NA,NA
"352",39.83287,-3.81182,2012,"Chelonia mydas",1.11,-12,NA,NA
"353",39.83197,-3.83965,2012,"Chelonia mydas",1.11,9,27.19,34.79
"354",39.78058,-3.90359,2012,"Chelonia mydas",1.11,-16,27.19,34.79
"355",39.55068,-4.44108,2012,"Chelonia mydas",1.11,47,27.25,34.78
"356",39.78881,-3.8679,2012,"Chelonia mydas",1.11,-22,27.19,34.79
"357",39.83797,-3.81374,2012,"Chelonia mydas",1.11,13,27.16,34.82
"358",39.83028,-3.81297,2012,"Chelonia mydas",1.11,-12,NA,NA
"359",39.87389,-3.69265,2012,"Chelonia mydas",1.11,-5,27.13,34.81
"360",39.97923,-3.48075,2012,"Chelonia mydas",1.11,177,27.1,34.8
"361",39.95964,-3.48847,2012,"Chelonia mydas",1.11,81,27.1,34.8
"362",39.7454,-4.20384,2012,"Chelonia mydas",1.11,309,27.22,34.81
"363",39.86829,-3.72446,2012,"Chelonia mydas",1.11,9,27.13,34.81
"364",39.81281,-3.85028,2012,"Chelonia mydas",1.11,-11,27.19,34.79
"365",39.82344,-3.82527,2012,"Chelonia mydas",1.11,-15,NA,NA
"366",39.85842,-3.81851,2012,"Chelonia mydas",1.11,83,27.16,34.82
"367",39.82439,-3.84731,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"368",39.8332,-3.82855,2012,"Chelonia mydas",1.11,-4,NA,NA
"369",39.83222,-3.87459,2012,"Chelonia mydas",1.11,150,27.19,34.79
"370",39.8554,-3.79679,2012,"Chelonia mydas",1.11,136,27.16,34.82
"371",39.85547,-3.79578,2012,"Chelonia mydas",1.11,136,27.16,34.82
"372",39.79473,-3.89757,2012,"Chelonia mydas",1.11,-3,27.19,34.79
"373",39.80851,-3.92044,2012,"Chelonia mydas",1.11,160,27.21,34.78
"374",39.80494,-3.8996,2012,"Chelonia mydas",1.11,24,27.19,34.79
"375",39.85178,-3.82946,2012,"Chelonia mydas",1.11,66,27.16,34.82
"376",39.81503,-3.9023,2012,"Chelonia mydas",1.11,73,27.19,34.79
"377",39.86944,-3.84223,2012,"Chelonia mydas",1.11,244,27.17,34.8
"378",40.12404,-3.36277,2012,"Chelonia mydas",1.11,13,27.07,34.83
"379",39.81658,-3.82774,2012,"Chelonia mydas",1.11,-21,NA,NA
"380",39.84449,-3.83076,2012,"Chelonia mydas",1.11,29,27.16,34.82
"381",39.9313,-3.70933,2012,"Chelonia mydas",1.11,319,27.14,34.82
"382",39.82439,-3.83159,2012,"Chelonia mydas",1.11,-15,NA,NA
"383",39.82965,-3.80988,2012,"Chelonia mydas",1.11,-12,NA,NA
"384",39.8155,-3.87733,2012,"Chelonia mydas",1.11,34,27.19,34.79
"385",39.90593,-3.81505,2012,"Chelonia mydas",1.11,399,27.16,34.82
"386",39.83248,-3.82612,2012,"Chelonia mydas",1.11,-4,NA,NA
"410",59.782,22.536,2018,"Chelonia mydas",111.32,-1,26.95,36.64
"411",59.808,22.492,2018,"Chelonia mydas",111.32,-11,NA,NA
"412",58.883,20.58,2016,"Chelonia mydas",111.32,-36,NA,NA
"413",55.845,25.735,2018,"Chelonia mydas",111.32,3,NA,NA
"414",55.697,25.689,2018,"Chelonia mydas",111.32,7,28.19,38.73
"415",55.635,25.74,2018,"Chelonia mydas",111.32,22,28.2,38.73
"416",55.849,25.796,2018,"Chelonia mydas",111.32,4,28.13,38.64
"417",55.752,25.741,2018,"Chelonia mydas",111.32,8,28.19,38.72
"418",55.74,25.714,2018,"Chelonia mydas",111.32,8,28.19,38.73
"419",55.834,25.751,2018,"Chelonia mydas",111.32,5,28.13,38.64
"420",55.861,25.752,2018,"Chelonia mydas",111.32,3,28.13,38.64
"421",55.8,25.733,2018,"Chelonia mydas",111.32,3,28.19,38.72
"422",55.779,25.766,2018,"Chelonia mydas",111.32,8,28.14,38.7
"423",55.829,25.734,2018,"Chelonia mydas",111.32,3,28.19,38.72
"424",55.817,25.744,2018,"Chelonia mydas",111.32,5,28.19,38.72
"425",55.835,25.734,2018,"Chelonia mydas",111.32,3,NA,NA
"426",55.806,25.726,2018,"Chelonia mydas",111.32,3,28.19,38.72
"427",55.846,25.742,2018,"Chelonia mydas",111.32,4,NA,NA
"428",55.728,25.705,2018,"Chelonia mydas",111.32,6,28.19,38.73
"429",55.674,25.629,2018,"Chelonia mydas",111.32,-1,28.21,38.74
"430",55.715,25.65,2018,"Chelonia mydas",111.32,2,28.21,38.74
"431",55.731,25.683,2018,"Chelonia mydas",111.32,3,28.19,38.73
"432",55.815,25.775,2018,"Chelonia mydas",111.32,4,28.14,38.7
"433",55.879,25.763,2018,"Chelonia mydas",111.32,2,28.13,38.64
"434",55.882,25.759,2018,"Chelonia mydas",111.32,2,28.13,38.64
"435",55.873,25.769,2018,"Chelonia mydas",111.32,3,28.13,38.64
"436",55.889,25.764,2018,"Chelonia mydas",111.32,4,28.13,38.64
"437",55.871,25.769,2018,"Chelonia mydas",111.32,3,28.13,38.64
"438",55.869,25.768,2018,"Chelonia mydas",111.32,3,28.13,38.64
"439",55.887,25.757,2018,"Chelonia mydas",111.32,3,28.13,38.64
