"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
10435986,-21.5,-7.4,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-14","1997-07-14",1,1,1,,,,"5002:371:134","POLYGON((-21.4 -7.3,-21.4 -7.4,-21.5 -7.4,-21.5 -7.3,-21.4 -7.3))"
10436197,-21.4,-9.1,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-07","1997-07-07",1,1,1,,,,"5002:391:113","POLYGON((-21.3 -9.1,-21.3 -9.2,-21.4 -9.2,-21.4 -9.1,-21.3 -9.1))"
10436194,-21.3,-9.0,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-05-23","1997-05-23",1,1,1,,,,"5002:391:103","POLYGON((-21.3 -9,-21.3 -9.1,-21.4 -9.1,-21.4 -9,-21.3 -9))"
10436092,-21.3,-8.8,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-19","1998-06-19",1,1,1,,,,"5002:381:373","POLYGON((-21.3 -8.7,-21.3 -8.8,-21.4 -8.8,-21.4 -8.7,-21.3 -8.7))"
10436079,-21.4,-8.4,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-14","1998-06-16",2,2,1,,,,"5002:381:133","POLYGON((-21.3 -8.3,-21.3 -8.4,-21.4 -8.4,-21.4 -8.3,-21.3 -8.3))"
10435990,-21.3,-7.4,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-14","1997-07-14",1,1,1,,,,"5002:371:143","POLYGON((-21.3 -7.4,-21.3 -7.5,-21.4 -7.5,-21.4 -7.4,-21.3 -7.4))"
10436697,-21.2,-11.5,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-09","1998-06-09",1,1,1,,,,"5102:111:142","POLYGON((-21.2 -11.4,-21.2 -11.5,-21.3 -11.5,-21.3 -11.4,-21.2 -11.4))"
10436208,-21.3,-9.9,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-16","1998-06-16",1,1,1,,,,"5002:391:392","POLYGON((-21.2 -9.9,-21.2 -10,-21.3 -10,-21.3 -9.9,-21.2 -9.9))"
10436196,-21.2,-9.1,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-13","1998-06-30",2,2,1,,,,"5002:391:112","POLYGON((-21.2 -9.1,-21.2 -9.2,-21.3 -9.2,-21.3 -9.1,-21.2 -9.1))"
10436193,-21.2,-9.1,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-07","1997-07-07",1,1,1,,,,"5002:391:102","POLYGON((-21.2 -9,-21.2 -9.1,-21.3 -9.1,-21.3 -9,-21.2 -9))"
