sci.name,obsv.datetime,lat,lon,life.stage,bathy,SST,SSS,common.name
Chelonia mydas,2019-01-10T05:01:00Z,22.121,59.727,NA,34,26.24,36.45,Green
Caretta caretta,2012-04-24T08:18:37Z,14.98996,56.81323,Juvenile,2879,26.9,36.13,Loggerhead
Chelonia mydas,2017-04-17T06:53:00Z,24.186,53.216,NA,3,27.99,38.65,Green
Caretta caretta,2011-02-26T20:05:59Z,10.53006,55.71057,Juvenile,4316,27.04,35.91,Loggerhead
Caretta caretta,2011-12-08T20:02:16Z,0.8223,55.35666,Juvenile,4760,28.54,35.35,Loggerhead
Chelonia mydas,2017-07-11T05:45:00Z,24.66,53.055,NA,3,27.91,38.67,Green
Chelonia mydas,2019-08-01T17:14:00Z,24.684,52.965,NA,13,27.86,38.67,Green
Caretta caretta,2011-04-01T20:18:07Z,15.45361,54.65349,Juvenile,3082,26.94,36.09,Loggerhead
Chelonia mydas,2016-07-29T13:41:00Z,25.723,55.711,NA,11,28.19,38.73,Green
Chelonia mydas,2018-07-29T06:58:00Z,24.648,53.045,NA,2,27.91,38.67,Green
Chelonia mydas,2016-09-07T13:36:00Z,25.731,55.849,NA,2,NA,NA,Green
Caretta caretta,2011-11-28T09:48:16Z,1.15465,53.34434,Juvenile,5108,28.18,35.36,Loggerhead
Chelonia mydas,2017-02-25T22:05:00Z,24.192,53.581,NA,2,28,38.73,Green
Caretta caretta,2010-12-16T19:56:41Z,0.76038,53.20786,Juvenile,5066,28.17,35.37,Loggerhead
Chelonia mydas,2016-10-31T22:36:00Z,24.598,54.417,NA,5,28.11,38.94,Green
Chelonia mydas,2018-11-12T04:39:00Z,24.576,53.348,NA,2,28.02,38.74,Green
Chelonia mydas,2017-03-30T22:30:00Z,24.192,53.179,NA,2,27.99,38.65,Green
Caretta caretta,2011-11-14T09:17:06Z,1.96395,47.6526,Juvenile,4065,27.27,35.33,Loggerhead
Chelonia mydas,2017-05-20T06:26:00Z,24.627,53.022,NA,5,27.91,38.67,Green
Caretta caretta,2012-01-30T01:29:52Z,9.21713,50.7349,Juvenile,35,26.21,35.65,Loggerhead
Chelonia mydas,2017-01-11T03:53:00Z,24.149,53.342,NA,3,28,38.69,Green
Chelonia mydas,2018-03-21T12:10:00Z,24.419,53.149,NA,8,27.98,38.66,Green
Caretta caretta,2011-03-28T09:22:03Z,12.78019,51.23423,Juvenile,1872,27.83,36.04,Loggerhead
Caretta caretta,2012-04-02T03:05:13Z,16.41162,53.7538,Juvenile,2612,26.81,36.07,Loggerhead
Chelonia mydas,2016-08-09T23:09:00Z,24.573,54.429,NA,5,28.09,38.96,Green
Chelonia mydas,2017-04-25T22:31:00Z,24.187,53.144,NA,2,27.97,38.6,Green
Chelonia mydas,2016-11-12T23:37:00Z,23.684,58.57,NA,78,28.1,36.81,Green
Caretta caretta,2012-05-22T22:59:16Z,16.18887,55.667,Juvenile,3207,26.8,36.1,Loggerhead
Caretta caretta,2011-12-07T17:54:59Z,1.61999,50.21089,Juvenile,5065,27.59,35.35,Loggerhead
Chelonia mydas,2018-06-25T12:06:00Z,24.568,53.133,NA,2,27.94,38.67,Green
Chelonia mydas,2017-05-07T12:48:00Z,24.398,53.21,NA,2,28,38.67,Green
Caretta caretta,2012-01-06T10:45:58Z,9.40798,57.24662,Juvenile,4246,27.58,35.89,Loggerhead
Chelonia mydas,2018-08-19T11:32:00Z,24.647,53.039,NA,2,27.91,38.67,Green
Caretta caretta,2012-03-27T03:13:16Z,9.24051,50.69559,Juvenile,2,26.21,35.65,Loggerhead
Caretta caretta,2011-01-18T09:18:56Z,8.84195,58.58912,Juvenile,2766,27.91,35.91,Loggerhead
Chelonia mydas,2016-09-12T13:25:00Z,24.619,53.358,NA,6,28.01,38.76,Green
Caretta caretta,2011-11-27T21:10:09Z,0.95886,53.23811,Juvenile,5095,28.16,35.37,Loggerhead
Chelonia mydas,2018-04-28T06:27:00Z,24.655,53.046,NA,3,27.91,38.67,Green
Caretta caretta,2012-04-19T08:11:13Z,15.44183,55.38789,Juvenile,3507,27,36.09,Loggerhead
Caretta caretta,2011-05-05T02:52:40Z,11.21004,59.51054,Juvenile,4451,27.56,36.17,Loggerhead
Chelonia mydas,2016-08-28T23:02:00Z,25.776,55.88,NA,4,28.13,38.64,Green
Caretta caretta,2011-12-08T09:03:54Z,0.76771,55.25631,Juvenile,4616,28.53,35.35,Loggerhead
Chelonia mydas,2017-04-25T22:32:00Z,24.407,52.953,NA,8,27.95,38.57,Green
Chelonia mydas,2016-12-22T15:16:00Z,15.371,51.688,NA,14,27.01,36,Green
Chelonia mydas,2018-04-21T11:14:00Z,24.679,53.078,NA,5,27.91,38.69,Green
Chelonia mydas,2017-05-05T05:36:00Z,25.747,55.818,NA,5,28.19,38.72,Green
Caretta caretta,2011-07-19T03:05:21Z,7.46203,60.13767,Juvenile,2529,28.47,35.82,Loggerhead
Chelonia mydas,2017-05-16T12:46:00Z,25.749,55.85,NA,3,NA,NA,Green
Caretta caretta,2011-04-29T07:56:21Z,10.09019,59.98594,Juvenile,4457,27.83,36.09,Loggerhead
Chelonia mydas,2018-08-07T05:13:00Z,22.538,59.839,NA,167,26.89,36.63,Green
Chelonia mydas,2019-05-09T18:14:00Z,24.585,52.996,NA,6,27.89,38.66,Green
Caretta caretta,2011-02-27T01:04:05Z,10.55805,55.71007,Juvenile,4209,27.04,35.91,Loggerhead
Chelonia mydas,2017-01-17T06:12:00Z,24.164,53.334,NA,6,28,38.69,Green
Chelonia mydas,2016-06-04T22:17:00Z,24.494,52.927,NA,13,27.92,38.61,Green
Chelonia mydas,2016-06-16T07:01:00Z,24.622,53.053,NA,2,27.91,38.67,Green
Chelonia mydas,2019-09-23T06:58:00Z,24.654,53.011,NA,10,27.91,38.67,Green
Caretta caretta,2011-12-15T03:02:26Z,1.89233,56.79285,Juvenile,4721,28.73,35.36,Loggerhead
Caretta caretta,2011-12-23T17:03:08Z,6.09268,58.97586,Juvenile,4217,28.57,35.71,Loggerhead
Caretta caretta,2011-11-22T16:51:51Z,2.0986,46.03705,Juvenile,1405,26.99,35.25,Loggerhead
Chelonia mydas,2017-05-16T12:43:00Z,25.728,55.856,NA,2,NA,NA,Green
Caretta caretta,2012-04-16T02:16:36Z,15.48703,55.85577,Juvenile,3187,26.99,36.1,Loggerhead
Caretta caretta,2012-05-28T20:50:27Z,17.67862,56.95654,Juvenile,278,25.81,36.02,Loggerhead
Chelonia mydas,2019-07-30T19:05:00Z,24.651,53.046,NA,3,27.91,38.67,Green
Caretta caretta,2011-04-05T09:08:57Z,15.46207,53.79546,Juvenile,2445,26.92,36.09,Loggerhead
Chelonia mydas,2016-08-03T22:41:00Z,24.627,53.035,NA,2,27.91,38.67,Green
Caretta caretta,2011-11-17T10:20:32Z,2.166,47.402,Juvenile,3554,27.23,35.32,Loggerhead
Chelonia mydas,2016-12-02T23:17:00Z,24.602,54.399,NA,7,28.14,38.93,Green
Caretta caretta,2011-03-28T20:28:55Z,16.49888,54.53596,Juvenile,2665,26.74,36.08,Loggerhead
Chelonia mydas,2018-08-03T04:02:00Z,22.286,59.848,NA,49,26.53,36.51,Green
Chelonia mydas,2016-09-24T03:13:00Z,25.738,55.846,NA,3,NA,NA,Green
Caretta caretta,2011-03-16T08:21:31Z,14.51725,52.76376,Juvenile,1035,26.98,36.04,Loggerhead
Chelonia mydas,2019-05-13T06:31:00Z,24.48,53.166,NA,11,27.98,38.66,Green
Caretta caretta,2012-03-02T08:47:41Z,9.20969,50.71234,Juvenile,28,26.21,35.65,Loggerhead
Chelonia mydas,2016-08-06T23:45:00Z,25.504,53.76,NA,23,28.13,38.51,Green
Chelonia mydas,2016-09-16T14:28:00Z,24.665,53.053,NA,3,27.91,38.67,Green
Caretta caretta,2012-01-29T00:39:15Z,9.25249,50.76806,Juvenile,25,26.18,35.65,Loggerhead
Chelonia mydas,2016-08-19T05:54:00Z,25.765,55.797,NA,6,28.14,38.7,Green
Caretta caretta,2011-04-25T21:46:59Z,13.74041,54.88123,Juvenile,2961,27.01,36.06,Loggerhead
Chelonia mydas,2018-04-09T06:57:00Z,24.552,53.118,NA,4,27.94,38.67,Green
Chelonia mydas,2019-05-23T13:13:00Z,24.588,53.089,NA,2,27.93,38.71,Green
Caretta caretta,2011-02-27T21:26:52Z,15.33192,52.8643,Juvenile,2352,26.96,36.08,Loggerhead
Chelonia mydas,2017-07-31T13:17:00Z,24.635,53.054,NA,2,27.91,38.67,Green
Chelonia mydas,2016-09-21T23:24:00Z,24.642,53.037,NA,2,27.91,38.67,Green
Caretta caretta,2012-05-02T19:34:34Z,15.7562,55.5234,Juvenile,3641,26.92,36.1,Loggerhead
Caretta caretta,2011-11-28T20:45:18Z,1.37276,53.40559,Juvenile,5118,28.16,35.36,Loggerhead
Caretta caretta,2012-05-18T18:19:01Z,15.06471,55.08701,Juvenile,2581,27.02,36.08,Loggerhead
Chelonia mydas,2018-09-24T11:15:00Z,26.018,54.819,NA,78,28.13,38.21,Green
Caretta caretta,2012-04-15T09:58:15Z,15.48621,55.87673,Juvenile,3114,26.99,36.1,Loggerhead
Caretta caretta,2012-06-07T20:39:52Z,20.13568,59.66992,Juvenile,2708,26.56,36.28,Loggerhead
Chelonia mydas,2019-09-02T15:40:00Z,24.838,53.11,NA,11,27.86,38.7,Green
Caretta caretta,2011-04-11T08:27:32Z,15.03592,54.11197,Juvenile,2807,26.89,36.08,Loggerhead
Caretta caretta,2011-07-22T17:18:45Z,8.70171,60.3626,Juvenile,3844,28.22,35.92,Loggerhead
Chelonia mydas,2018-05-12T12:07:00Z,24.552,53.021,NA,3,27.93,38.65,Green
Caretta caretta,2011-02-07T03:36:12Z,4.39565,54.02813,Juvenile,4729,27.95,35.47,Loggerhead
Chelonia mydas,2017-04-02T23:42:00Z,24.196,53.183,NA,2,27.99,38.65,Green
Chelonia mydas,2018-11-06T06:50:00Z,22.522,59.837,NA,60,26.89,36.63,Green
Caretta caretta,2012-04-21T20:32:50Z,14.65379,55.79045,Juvenile,3087,27.01,36.09,Loggerhead
Chelonia mydas,2016-08-30T06:08:00Z,24.155,52.501,NA,6,27.83,38.15,Green
Chelonia mydas,2016-12-01T21:43:00Z,20.586,58.919,NA,2,25.98,36.04,Green
Caretta caretta,2012-03-25T00:10:31Z,9.23518,50.73332,Juvenile,37,26.21,35.65,Loggerhead
Chelonia mydas,2018-08-02T13:06:00Z,25.66,57.449,NA,54,28.07,36.72,Green
Caretta caretta,2011-12-12T03:47:42Z,1.44755,56.30138,Juvenile,4651,28.67,35.35,Loggerhead
Chelonia mydas,2018-04-28T06:29:00Z,24.506,53.152,NA,14,27.94,38.67,Green
Caretta caretta,2011-11-11T13:16:02Z,1.23157,45.31445,Juvenile,2595,27.05,35.25,Loggerhead
Chelonia mydas,2018-06-14T10:50:00Z,24.759,54.453,NA,12,28.18,38.96,Green
Chelonia mydas,2016-05-21T23:26:00Z,24.49,52.888,NA,9,27.91,38.57,Green
Chelonia mydas,2018-04-23T12:26:00Z,24.547,53.091,NA,2,27.94,38.67,Green
Chelonia mydas,2018-05-05T05:03:00Z,24.589,53.199,NA,10,27.96,38.73,Green
Caretta caretta,2012-01-03T20:01:43Z,9.19148,57.73209,Juvenile,3317,27.71,35.9,Loggerhead
Caretta caretta,2012-05-13T08:15:16Z,16.90934,54.58991,Juvenile,1241,26.39,36.01,Loggerhead
Chelonia mydas,2019-05-11T07:11:00Z,24.672,53.11,NA,10,27.92,38.71,Green
Caretta caretta,2012-01-21T14:58:30Z,12.16575,55.39951,Juvenile,3804,26.87,35.98,Loggerhead
Chelonia mydas,2018-11-10T05:01:00Z,24.649,53.032,NA,4,27.91,38.67,Green
Caretta caretta,2011-02-09T03:11:29Z,15.70639,54.36191,Juvenile,2794,26.94,36.1,Loggerhead
Chelonia mydas,2016-11-18T22:28:00Z,23.436,61.484,NA,3311,27.01,36.59,Green
Caretta caretta,2011-01-27T09:08:40Z,1.2386,52.95266,Juvenile,5093,28.09,35.36,Loggerhead
Chelonia mydas,2016-08-21T05:48:00Z,24.857,52.166,NA,17,27.57,38.44,Green
Caretta caretta,2012-01-07T08:01:27Z,7.14993,49.4938,Juvenile,19,26.38,35.5,Loggerhead
Caretta caretta,2012-06-21T06:06:57Z,19.73012,61.2598,Juvenile,3654,26.94,36.29,Loggerhead
Caretta caretta,2011-06-09T03:32:14Z,18.46207,56.86254,Juvenile,23,25.01,36.05,Loggerhead
Chelonia mydas,2018-04-08T02:54:00Z,24.575,53.13,NA,2,27.94,38.67,Green
Chelonia mydas,2018-03-21T06:54:00Z,24.579,53.051,NA,2,27.93,38.65,Green
Caretta caretta,2011-03-14T22:14:22Z,15.29125,55.65745,Juvenile,2663,27.01,36.09,Loggerhead
Caretta caretta,2011-03-13T21:35:35Z,15.03651,55.8996,Juvenile,2413,27.02,36.09,Loggerhead
Caretta caretta,2011-04-27T15:24:28Z,16.86129,55.85268,Juvenile,3106,26.41,36.1,Loggerhead
Chelonia mydas,2018-12-12T05:03:00Z,24.56,53.309,NA,2,28,38.72,Green
Caretta caretta,2011-12-11T08:19:18Z,1.38715,56.15278,Juvenile,4698,28.64,35.35,Loggerhead
Caretta caretta,2011-11-25T21:12:19Z,0.10929,53.07921,Juvenile,5044,28.19,35.37,Loggerhead
Chelonia mydas,2018-05-12T12:11:00Z,25.387,55.241,NA,20,28.25,38.95,Green
Caretta caretta,2012-02-11T12:50:45Z,9.26477,50.76628,Juvenile,32,26.18,35.65,Loggerhead
Chelonia mydas,2016-08-05T11:24:00Z,24.457,54.257,NA,2,28.01,38.92,Green
Caretta caretta,2012-06-07T11:16:30Z,20.12641,59.46247,Juvenile,2878,26.44,36.28,Loggerhead
Chelonia mydas,2019-08-11T13:24:00Z,24.654,53.185,NA,10,27.96,38.73,Green
Chelonia mydas,2018-04-22T23:32:00Z,24.572,53.122,NA,2,27.94,38.67,Green
Chelonia mydas,2018-04-19T11:31:00Z,24.532,52.662,NA,13,27.8,38.47,Green
Chelonia mydas,2018-05-13T06:50:00Z,24.651,53.196,NA,10,27.96,38.73,Green
Caretta caretta,2012-04-07T20:50:23Z,9.24451,50.72367,Juvenile,34,26.21,35.65,Loggerhead
Caretta caretta,2011-07-21T03:23:21Z,7.88085,60.56834,Juvenile,3633,28.44,35.85,Loggerhead
Caretta caretta,2012-04-16T08:01:14Z,15.48393,55.84517,Juvenile,3190,26.99,36.1,Loggerhead
Chelonia mydas,2016-07-27T13:45:00Z,25.739,55.742,NA,9,28.19,38.73,Green
Chelonia mydas,2016-09-12T23:34:00Z,24.245,53.717,NA,20,27.99,38.79,Green
Chelonia mydas,2016-09-04T12:31:00Z,24.228,53.693,NA,14,27.99,38.79,Green
Caretta caretta,2012-05-01T04:49:16Z,15.8839,55.77279,Juvenile,2888,26.9,36.1,Loggerhead
Caretta caretta,2012-05-01T01:28:20Z,15.89665,55.79412,Juvenile,2968,26.9,36.1,Loggerhead
Caretta caretta,2011-05-03T12:36:43Z,10.86668,59.61951,Juvenile,4335,27.63,36.16,Loggerhead
Chelonia mydas,2016-10-03T06:02:00Z,25.741,55.874,NA,2,NA,NA,Green
Chelonia mydas,2017-04-08T11:32:00Z,24.197,53.19,NA,2,27.99,38.65,Green
Caretta caretta,2012-06-10T21:18:54Z,19.60005,60.89657,Juvenile,3204,26.89,36.27,Loggerhead
Chelonia mydas,2017-06-06T06:21:00Z,24.646,53.041,NA,2,27.91,38.67,Green
Caretta caretta,2011-08-07T07:16:20Z,2.68323,46.37015,Juvenile,133,26.87,35.22,Loggerhead
Caretta caretta,2011-04-08T02:31:53Z,5.53742,60.70306,Juvenile,3056,28.9,35.65,Loggerhead
Chelonia mydas,2018-05-12T06:34:00Z,24.62,53.003,NA,7,27.91,38.67,Green
Caretta caretta,2012-04-17T18:49:51Z,15.58187,55.6467,Juvenile,3058,26.98,36.09,Loggerhead
Chelonia mydas,2018-06-06T23:16:00Z,25.361,55.214,NA,20,28.25,38.95,Green
Caretta caretta,2011-04-15T20:12:08Z,6.9863,59.21093,Juvenile,3323,28.45,35.76,Loggerhead
Chelonia mydas,2018-04-24T05:27:00Z,24.386,54.095,NA,4,28.03,38.87,Green
Chelonia mydas,2017-06-29T06:39:00Z,24.651,53.05,NA,2,27.91,38.67,Green
Caretta caretta,2011-08-13T17:26:33Z,6.95039,50.89371,Juvenile,4819,27.22,35.52,Loggerhead
Chelonia mydas,2016-08-19T22:56:00Z,24.636,53.058,NA,2,27.91,38.67,Green
Caretta caretta,2012-03-25T01:55:52Z,9.22806,50.71626,Juvenile,30,26.21,35.65,Loggerhead
Chelonia mydas,2018-12-08T02:20:00Z,24.598,53.003,NA,5,27.91,38.67,Green
Chelonia mydas,2017-07-20T12:03:00Z,24.649,53.045,NA,2,27.91,38.67,Green
Chelonia mydas,2019-07-16T17:14:00Z,24.628,53.05,NA,2,27.91,38.67,Green
Caretta caretta,2011-05-09T18:55:02Z,15.56502,54.86983,Juvenile,2968,26.95,36.09,Loggerhead
Caretta caretta,2012-05-17T14:47:57Z,15.58315,54.77384,Juvenile,3154,26.95,36.09,Loggerhead
Chelonia mydas,2018-05-31T06:45:00Z,24.805,53.02,NA,18,27.87,38.69,Green
Chelonia mydas,2018-09-09T12:26:00Z,23.256,59.014,NA,773,27.97,36.77,Green
Caretta caretta,2011-04-18T05:08:27Z,13.25168,52.55148,Juvenile,2359,26.76,35.98,Loggerhead
Chelonia mydas,2016-11-05T23:18:00Z,24.089,53.715,NA,35,27.98,38.77,Green
Chelonia mydas,2016-11-29T23:45:00Z,24.565,54.446,NA,2,28.09,38.96,Green
Caretta caretta,2011-12-30T06:55:04Z,5.6277,48.72605,Juvenile,3,26.56,35.39,Loggerhead
Chelonia mydas,2017-01-20T22:17:00Z,24.178,53.326,NA,5,28,38.65,Green
Chelonia mydas,2017-02-27T10:46:00Z,24.623,54.333,NA,9,28.11,38.92,Green
Chelonia mydas,2017-05-10T23:06:00Z,25.751,55.852,NA,3,28.13,38.64,Green
Chelonia mydas,2018-04-18T03:43:00Z,24.653,53.056,NA,2,27.91,38.67,Green
Chelonia mydas,2017-06-10T06:36:00Z,26.182,56.074,NA,63,27.92,37.72,Green
Caretta caretta,2011-12-22T13:47:18Z,5.67012,58.74751,Juvenile,3908,28.61,35.67,Loggerhead
Chelonia mydas,2017-05-28T12:06:00Z,24.65,53.047,NA,2,27.91,38.67,Green
Caretta caretta,2012-06-13T02:02:34Z,19.21913,61.36076,Juvenile,3691,26.98,36.29,Loggerhead
Chelonia mydas,2017-01-17T15:05:00Z,24.608,54.368,NA,8,28.14,38.93,Green
Caretta caretta,2010-12-19T07:15:38Z,0.8396,54.75824,Juvenile,4890,28.45,35.36,Loggerhead
Chelonia mydas,2019-06-16T03:29:00Z,24.656,53.064,NA,2,27.91,38.67,Green
Chelonia mydas,2016-12-10T17:14:00Z,24.633,53.045,NA,2,27.91,38.67,Green
Chelonia mydas,2016-12-03T06:40:00Z,24.582,54.435,NA,5,28.09,38.96,Green
Caretta caretta,2012-04-10T18:15:28Z,15.16854,56.35903,Juvenile,2436,26.95,36.11,Loggerhead
Chelonia mydas,2019-09-16T06:55:00Z,24.643,53.056,NA,2,27.91,38.67,Green
Chelonia mydas,2018-10-29T06:17:00Z,24.646,53.046,NA,2,27.91,38.67,Green
Caretta caretta,2012-06-16T09:43:51Z,19.33223,62.10247,Juvenile,3579,27.09,36.36,Loggerhead
Caretta caretta,2011-04-26T03:07:43Z,16.9647,55.53505,Juvenile,2931,26.27,36.07,Loggerhead
Caretta caretta,2012-02-20T02:12:03Z,16.79124,56.51175,Juvenile,3814,26.56,36.13,Loggerhead
Chelonia mydas,2017-04-11T23:30:00Z,24.579,54.492,NA,2,28.09,38.96,Green
Chelonia mydas,2016-08-14T11:26:00Z,24.705,52.996,NA,13,27.86,38.67,Green
Chelonia mydas,2018-05-19T06:24:00Z,24.796,57.29,NA,1348,28.44,36.81,Green
Chelonia mydas,2019-05-19T03:03:00Z,24.401,53.211,NA,2,28,38.67,Green
Caretta caretta,2011-04-05T13:34:47Z,2.4069,47.87119,Juvenile,3805,27.27,35.34,Loggerhead
Chelonia mydas,2018-03-23T04:55:00Z,24.393,52.996,NA,6,27.95,38.57,Green
Chelonia mydas,2019-06-17T19:00:00Z,24.659,53.068,NA,4,27.91,38.67,Green
Chelonia mydas,2017-06-11T11:07:00Z,24.685,53.039,NA,12,27.91,38.69,Green
Chelonia mydas,2018-04-27T11:50:00Z,24.549,53.033,NA,2,27.93,38.65,Green
Caretta caretta,2011-01-30T08:51:57Z,2.56237,53.18741,Juvenile,5041,28,35.38,Loggerhead
Chelonia mydas,2016-09-19T13:49:00Z,25.732,55.848,NA,2,NA,NA,Green
Caretta caretta,2011-01-03T14:09:10Z,4.2672,59.687,Juvenile,3556,28.92,35.55,Loggerhead
Chelonia mydas,2016-08-05T11:33:00Z,24.756,52.937,NA,17,27.82,38.68,Green
Caretta caretta,2011-04-10T03:47:37Z,15.92437,53.65044,Juvenile,2436,26.95,36.1,Loggerhead
Chelonia mydas,2018-08-23T06:42:00Z,24.684,53.042,NA,13,27.91,38.69,Green
Caretta caretta,2011-02-24T03:14:53Z,9.68995,55.59646,Juvenile,3000,27.12,35.83,Loggerhead
Chelonia mydas,2018-04-26T16:33:00Z,25.714,55.74,NA,8,28.19,38.73,Green
Caretta caretta,2011-11-18T21:02:01Z,2.209,47.176,Juvenile,3305,27.19,35.32,Loggerhead
Chelonia mydas,2019-06-11T05:43:00Z,24.641,53.056,NA,2,27.91,38.67,Green
Caretta caretta,2011-04-05T05:24:02Z,15.30733,51.70063,Juvenile,34,27.03,35.99,Loggerhead
Chelonia mydas,2019-07-19T07:16:00Z,24.64,53.043,NA,2,27.91,38.67,Green
Chelonia mydas,2018-07-26T02:34:00Z,24.645,53.084,NA,2,27.93,38.71,Green
Caretta caretta,2011-02-11T19:18:12Z,5.66237,54.16318,Juvenile,5096,27.74,35.54,Loggerhead
Chelonia mydas,2016-09-15T22:57:00Z,24.608,53.327,NA,2,27.98,38.74,Green
Caretta caretta,2011-12-28T03:57:36Z,7.5957,59.36627,Juvenile,2691,28.32,35.81,Loggerhead
Caretta caretta,2011-04-23T08:51:42Z,8.6881,59.18061,Juvenile,3532,28.04,35.92,Loggerhead
Caretta caretta,2012-06-10T19:11:21Z,19.63582,60.88241,Juvenile,3024,26.89,36.27,Loggerhead
Caretta caretta,2012-02-03T00:58:00Z,9.22697,50.73705,Juvenile,36,26.21,35.65,Loggerhead
Chelonia mydas,2016-12-05T11:43:00Z,24.557,54.439,NA,2,28.09,38.96,Green
Caretta caretta,2011-04-03T06:44:22Z,4.8561,61.55209,Juvenile,3164,29.05,35.58,Loggerhead
Chelonia mydas,2017-04-24T22:45:00Z,24.627,53.045,NA,2,27.91,38.67,Green
Chelonia mydas,2018-05-29T10:33:00Z,22.228,60.503,NA,2857,26.64,36.48,Green
Chelonia mydas,2018-04-29T11:21:00Z,24.636,53.024,NA,6,27.91,38.67,Green
Chelonia mydas,2017-03-08T23:21:00Z,24.74,54.412,NA,14,28.13,38.93,Green
Chelonia mydas,2016-12-15T13:35:00Z,26.125,56.467,NA,17,28.09,36.87,Green
Caretta caretta,2012-04-20T16:18:41Z,14.95071,55.37636,Juvenile,2101,27.04,36.08,Loggerhead
Chelonia mydas,2017-02-11T01:40:00Z,24.193,53.211,NA,2,27.99,38.65,Green
Caretta caretta,2012-04-09T02:00:50Z,14.94626,55.8977,Juvenile,2258,27.02,36.09,Loggerhead
Chelonia mydas,2018-04-24T12:14:00Z,24.576,53.018,NA,2,27.93,38.65,Green
Chelonia mydas,2018-08-30T12:47:00Z,24.643,53.045,NA,2,27.91,38.67,Green
Chelonia mydas,2018-04-12T11:17:00Z,24.56,53.124,NA,2,27.94,38.67,Green
Chelonia mydas,2018-09-15T04:12:00Z,24.642,53.041,NA,2,27.91,38.67,Green
Caretta caretta,2011-01-20T15:51:34Z,9.52606,57.89598,Juvenile,2847,27.66,35.94,Loggerhead
Chelonia mydas,2016-08-03T11:57:00Z,24.694,53.107,NA,11,27.92,38.71,Green
Caretta caretta,2011-03-28T21:25:08Z,16.50008,54.54562,Juvenile,2681,26.63,36.07,Loggerhead
Chelonia mydas,2016-10-08T14:08:00Z,25.747,55.86,NA,4,NA,NA,Green
Caretta caretta,2011-03-10T07:44:56Z,13.66091,56.2543,Juvenile,3101,26.82,36.08,Loggerhead
Chelonia mydas,2018-05-16T11:28:00Z,25.541,55.428,NA,16,28.22,38.93,Green
Caretta caretta,2011-04-20T13:36:18Z,8.11367,58.57934,Juvenile,2675,28.09,35.82,Loggerhead
Chelonia mydas,2017-05-09T06:53:00Z,24.642,52.998,NA,9,27.89,38.66,Green
Caretta caretta,2012-01-05T14:45:50Z,9.29002,57.39079,Juvenile,2611,27.63,35.88,Loggerhead
Chelonia mydas,2017-02-01T06:56:00Z,24.191,53.152,NA,2,27.97,38.6,Green
Caretta caretta,2011-11-14T06:04:13Z,1.96573,47.65449,Juvenile,4065,27.27,35.33,Loggerhead
Chelonia mydas,2016-05-26T22:21:00Z,24.457,52.85,NA,8,27.91,38.57,Green
Caretta caretta,2012-01-12T04:30:40Z,10.51222,56.17675,Juvenile,5132,27.15,35.94,Loggerhead
Caretta caretta,2011-05-02T13:02:18Z,10.77589,59.72185,Juvenile,4304,27.65,36.16,Loggerhead
Caretta caretta,2012-05-05T09:16:43Z,15.76144,55.358,Juvenile,3694,26.92,36.09,Loggerhead
Chelonia mydas,2019-09-27T06:54:00Z,24.204,52.077,NA,23,27.7,37.81,Green
Chelonia mydas,2016-10-08T11:05:00Z,24.573,54.455,NA,2,28.09,38.96,Green
Caretta caretta,2012-05-31T07:27:50Z,17.89893,57.98818,Juvenile,2868,26.44,36.17,Loggerhead
Chelonia mydas,2018-06-14T05:06:00Z,24.481,52.957,NA,4,27.92,38.61,Green
Caretta caretta,2011-11-26T02:22:50Z,0.16873,53.10716,Juvenile,5067,28.19,35.37,Loggerhead
Chelonia mydas,2019-07-29T13:43:00Z,24.356,53.052,NA,2,27.96,38.59,Green
Caretta caretta,2012-01-09T08:24:20Z,9.9746,56.82817,Juvenile,3776,27.41,35.92,Loggerhead
Chelonia mydas,2018-05-30T05:59:00Z,24.643,53.404,NA,14,28.01,38.76,Green
Caretta caretta,2011-04-06T12:18:47Z,15.66532,53.82395,Juvenile,2539,26.94,36.1,Loggerhead
Chelonia mydas,2017-05-06T06:55:00Z,24.675,52.994,NA,12,27.86,38.67,Green
Caretta caretta,2011-02-02T21:05:09Z,4.1921,53.36392,Juvenile,5093,27.88,35.46,Loggerhead
Chelonia mydas,2019-07-30T13:32:00Z,24.361,52.922,NA,5,27.95,38.57,Green
Caretta caretta,2011-05-08T02:33:25Z,14.53886,58.64731,Juvenile,4144,26.97,36.15,Loggerhead
Chelonia mydas,2019-05-18T15:56:00Z,24.369,53.08,NA,2,27.96,38.59,Green
Chelonia mydas,2017-06-08T11:37:00Z,24.637,53.057,NA,2,27.91,38.67,Green
Chelonia mydas,2019-09-16T12:30:00Z,24.436,54.243,NA,2,28.03,38.9,Green
Caretta caretta,2011-11-15T23:38:43Z,2.097,47.681,Juvenile,4036,27.26,35.33,Loggerhead
Chelonia mydas,2016-09-25T22:43:00Z,25.783,55.879,NA,4,28.13,38.64,Green
Chelonia mydas,2018-05-18T04:02:00Z,22.474,59.875,NA,584,26.66,36.6,Green
Caretta caretta,2011-11-27T02:00:46Z,0.60246,53.15847,Juvenile,5057,28.17,35.37,Loggerhead
Chelonia mydas,2018-05-21T06:47:00Z,25.408,55.178,NA,23,28.25,38.95,Green
Caretta caretta,2011-07-12T02:39:43Z,7.40256,60.17016,Juvenile,2569,28.5,35.81,Loggerhead
