sci.name,obsv.datetime,lat,lon,life.stage,bathy,SST,SSS,common.name
Chelonia mydas,2016-10-14T22:26:00Z,25.734,55.873,NA,2,NA,NA,Green
Caretta caretta,2011-01-22T19:20:47Z,0.65942,50.79142,Juvenile,5074,27.79,35.35,Loggerhead
Chelonia mydas,2017-05-12T06:39:00Z,24.649,52.938,NA,12,27.89,38.66,Green
Caretta caretta,2011-03-26T02:43:53Z,13.18523,51.23588,Juvenile,4363,27.79,36.03,Loggerhead
Caretta caretta,2011-04-02T15:20:51Z,1.03152,44.11345,Juvenile,250,26.89,35.12,Loggerhead
Chelonia mydas,2016-08-04T14:40:00Z,25.792,55.776,NA,18,28.14,38.7,Green
Caretta caretta,2011-05-03T09:58:42Z,10.84813,59.60865,Juvenile,4323,27.63,36.16,Loggerhead
Chelonia mydas,2018-07-04T02:26:00Z,24.552,53.168,NA,9,27.96,38.71,Green
Caretta caretta,2011-03-04T17:01:46Z,14.83753,52.83579,Juvenile,2168,26.98,36.07,Loggerhead
Chelonia mydas,2016-08-14T11:24:00Z,25.765,55.885,NA,4,28.13,38.64,Green
Caretta caretta,2011-06-18T03:36:20Z,2.56333,58.21608,Juvenile,4452,28.86,35.4,Loggerhead
Chelonia mydas,2018-06-08T06:11:00Z,24.515,53.061,NA,11,27.93,38.65,Green
Caretta caretta,2011-12-20T20:54:15Z,4.91348,58.17041,Juvenile,4179,28.64,35.6,Loggerhead
Chelonia mydas,2016-08-26T23:25:00Z,24.551,54.415,NA,3,28.09,38.93,Green
Chelonia mydas,2017-01-04T18:33:00Z,24.578,54.423,NA,6,28.09,38.96,Green
Chelonia mydas,2017-01-21T23:51:00Z,24.155,53.305,NA,7,27.99,38.67,Green
Chelonia mydas,2017-05-15T17:32:00Z,24.644,53.203,NA,10,27.96,38.73,Green
Caretta caretta,2011-12-13T08:01:47Z,1.56206,56.48443,Juvenile,4754,28.68,35.35,Loggerhead
Chelonia mydas,2016-06-17T10:40:00Z,24.614,53.011,NA,5,27.91,38.67,Green
Caretta caretta,2012-05-19T19:24:46Z,14.86775,55.1538,Juvenile,2739,27.04,36.08,Loggerhead
Chelonia mydas,2018-10-19T06:23:00Z,24.645,53.042,NA,2,27.91,38.67,Green
Chelonia mydas,2016-05-27T13:57:00Z,24.606,53.047,NA,2,27.91,38.67,Green
Caretta caretta,2012-05-28T03:11:57Z,17.49588,56.77283,Juvenile,1749,26.09,36.1,Loggerhead
Chelonia mydas,2018-12-25T06:22:00Z,24.636,53.062,NA,2,27.91,38.67,Green
Chelonia mydas,2019-08-24T15:25:00Z,24.632,53.038,NA,2,27.91,38.67,Green
Caretta caretta,2011-12-21T19:03:15Z,5.38233,58.49943,Juvenile,4270,28.61,35.63,Loggerhead
Chelonia mydas,2017-03-30T09:56:00Z,24.613,53.003,NA,6,27.91,38.67,Green
Caretta caretta,2012-04-30T03:16:35Z,15.86002,55.95943,Juvenile,2873,26.9,36.1,Loggerhead
Chelonia mydas,2018-09-20T12:04:00Z,26.24,56.503,NA,80,28.13,36.85,Green
Chelonia mydas,2016-09-17T02:41:00Z,24.624,54.425,NA,7,28.11,38.94,Green
Chelonia mydas,2016-08-06T13:01:00Z,25.465,53.545,NA,29,28.04,38.52,Green
Caretta caretta,2011-04-17T06:02:56Z,13.3512,52.57888,Juvenile,2200,26.79,35.98,Loggerhead
Chelonia mydas,2016-08-08T23:26:00Z,25.705,54.482,NA,52,28.27,38.51,Green
Chelonia mydas,2017-03-02T11:58:00Z,24.691,54.353,NA,16,28.13,38.93,Green
Caretta caretta,2011-04-29T13:19:25Z,16.71882,55.34932,Juvenile,2868,26.49,36.07,Loggerhead
Chelonia mydas,2016-09-13T13:14:00Z,24.601,54.482,NA,2,28.11,38.94,Green
Caretta caretta,2011-01-07T03:12:47Z,5.22828,60.11589,Juvenile,3625,28.87,35.64,Loggerhead
Chelonia mydas,2019-06-24T15:07:00Z,24.634,52.989,NA,9,27.89,38.66,Green
