"pa","BO_sstmean","BO_bathymean","BO22_ph","BO2_dissoxmean_bdmean","BO2_salinitymean_ss","BO2_chlomean_ss","BO21_nitratemean_ss"
1,28.6480007171631,-3158,8.18099975585938,154.324478,35.735213,0.107879,0.132562
1,27.5849990844727,-8,8.13300037384033,197.658981,38.711394,0.141303,3e-06
1,27.55299949646,-4,8.13300037384033,197.660294,38.652464,0.141299,2e-06
1,26.882999420166,-2759,8.14200019836426,127.380913,36.10051,0.293972,0.691326
1,26.9419994354248,-2067,8.13899993896484,98.572151,36.049623,0.517558,1.127677
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,27.55299949646,-7,8.13199996948242,197.713913,38.572768,0.140988,2e-06
1,27.55299949646,-4,8.13300037384033,197.660294,38.652464,0.141299,2e-06
1,26.8209991455078,-2871,8.14200019836426,132.642487,36.096601,0.299823,0.709584
1,27.3059997558594,-2810,8.15200042724609,134.48349,36.044637,0.271673,0.701859
1,27.55299949646,-4,8.13300037384033,197.660294,38.652464,0.141299,2e-06
1,27.7059993743896,-2,8.13199996948242,197.194992,38.667218,0.141387,3e-06
1,27.9200000762939,-7,8.13199996948242,196.982697,38.757844,0.14883,0.001783
1,26.8110008239746,-3330,8.14400005340576,142.299942,36.094625,0.2419,0.601283
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.3379993438721,-3664,8.18200016021729,162.14415,35.922485,0.173306,0.919826
1,27.9939994812012,-18,8.13399982452393,199.05217,38.732417,0.125953,3.7e-05
1,26.992000579834,-2217,8.16300010681152,96.251183,35.974316,0.285169,0.600942
1,27.5160007476807,-2,8.13199996948242,197.502701,38.081113,0.136633,3e-06
1,27.5540008544922,-9,8.13199996948242,197.539429,38.606552,0.1413,2e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.2439994812012,-1,8.12199974060059,203.070831,36.668169,0.187444,0.077169
1,25.7689990997314,-6,8.12100028991699,210.3983,36.10209,1.025573,1.084952
1,27.2950000762939,-1833,8.14000034332275,74.933098,36.065839,0.49364,1.081593
1,28.3509998321533,-4914,8.18299961090088,181.835495,35.355749,0.167548,0.530473
1,26.673999786377,-308,8.13599967956543,25.2966,36.007704,0.592055,1.323047
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,28.3470001220703,-4895,8.18299961090088,181.797546,35.355737,0.167055,0.53581
1,28.0879993438721,-5,8.13399982452393,197.94931,38.644236,0.121566,3.2e-05
1,26.8099994659424,-2897,8.14400005340576,132.700089,36.095668,0.245459,0.604341
1,27.5160007476807,-2,8.13199996948242,197.502701,38.081113,0.136633,3e-06
1,28.9869995117188,-4700,8.18299961090088,178.436401,35.391144,0.131328,0.220254
1,26.5160007476807,-2434,8.13799953460693,118.693497,36.04668,0.519006,1.404393
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.6299991607666,-4761,8.18400001525879,179.7668,35.540579,0.174956,0.99783
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.7919998168945,-4770,8.1870002746582,180.238785,35.351872,0.152315,0.394475
1,27.4790000915527,-12,8.13300037384033,198.351822,38.693469,0.139424,3e-06
1,28.5349998474121,-4588,8.1870002746582,181.349731,35.345523,0.163404,0.423076
1,27.5160007476807,-2,8.13199996948242,197.502701,38.081113,0.136633,3e-06
1,27.94700050354,-18,8.13199996948242,199.486877,38.766835,0.151671,0.002393
1,28.6909999847412,-4671,8.1870002746582,180.688889,35.347716,0.156011,0.412817
1,29.3209991455078,-3208,8.17599964141846,156.871735,35.519486,0.077764,0.026268
1,27.5060005187988,-16,8.13300037384033,200.322769,38.647342,0.140592,3e-06
1,26.863000869751,-2328,8.14999961853027,113.653526,36.082827,0.220184,0.653461
1,28.6310005187988,-17,8.13199996948242,199.503204,38.805282,0.153797,0.002652
1,27.556999206543,-8,8.13300037384033,197.805374,38.635834,0.141215,2e-06
1,27.003999710083,-2484,8.1579999923706,118.873863,35.997126,0.291057,0.844573
1,27.4869995117188,-13,8.13300037384033,198.696121,38.591694,0.140571,3e-06
1,26.9780006408691,-2263,8.14599990844727,108.541618,36.092094,0.232844,0.625438
1,27.67799949646,-12,8.13300037384033,197.768616,38.782016,0.13914,3e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,26.8299999237061,-2850,8.14799976348877,129.345963,36.089176,0.218826,0.618118
1,27.556999206543,-8,8.13300037384033,197.805374,38.635834,0.141215,2e-06
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,28.1700000762939,0,8.13399982452393,197.454163,38.722734,0.123742,2.8e-05
1,28.0879993438721,-5,8.13399982452393,197.94931,38.644236,0.121566,3.2e-05
1,28.9659996032715,-3960,8.18099975585938,174.50322,35.458393,0.122263,0.162169
1,29.6480007171631,-3080,8.1870002746582,163.987656,35.187344,0.101643,0.068822
1,27.55299949646,-4,8.13300037384033,197.660294,38.652464,0.141299,2e-06
1,27.8600006103516,-7,8.13199996948242,197.019318,38.900669,0.157828,0.002918
1,26.7430000305176,98,8.17300033569336,203.153458,35.631042,0.332252,1.992803
1,27.9370002746582,-30,8.13300037384033,209.133301,38.601348,0.120716,1e-05
1,28.0879993438721,-5,8.13399982452393,197.94931,38.644236,0.121566,3.2e-05
1,28.507999420166,-2887,8.18200016021729,150.229172,35.745926,0.115095,0.180419
1,27.4790000915527,-12,8.13300037384033,198.351822,38.693469,0.139424,3e-06
1,27.6009998321533,-14,8.13300037384033,199.691467,38.730509,0.135807,3e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.867000579834,-4617,8.1879997253418,180.00206,35.338821,0.152204,0.266227
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.1650009155273,-5083,8.17500019073486,183.110489,35.367444,0.179569,0.62625
1,27.25,-3258,8.125,92.075691,36.693118,0.150317,0.03543
1,26.8229999542236,-2780,8.15299987792969,134.094543,36.117061,0.208188,0.607387
1,26.9519996643066,-3883,8.16600036621094,150.398483,36.151707,0.18413,0.461708
1,27.6560001373291,-4,8.13199996948242,197.207138,38.645105,0.141008,7e-06
1,26.8390007019043,-3173,8.14799976348877,137.648056,36.088673,0.2196,0.618655
1,28.0879993438721,-5,8.13399982452393,197.94931,38.644236,0.121566,3.2e-05
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.8110008239746,-57,8.13500022888184,209.63002,37.317773,0.100655,0.000138
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,27.5160007476807,-2,8.13199996948242,197.502701,38.081113,0.136633,3e-06
1,25.9220008850098,-66,8.13199996948242,138.798035,35.76138,0.576602,2.203467
1,26.9039993286133,-3640,8.13000011444092,133.68132,36.298578,0.242889,0.304519
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.9990005493164,-5117,8.17500019073486,182.521545,35.362068,0.17609,0.741343
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,26.4200000762939,-21,8.17300033569336,200.674881,35.645199,0.345451,2.082446
1,27.5049991607666,-14,8.13300037384033,199.482361,38.673269,0.140772,3e-06
1,27.55299949646,-4,8.13300037384033,197.660294,38.652464,0.141299,2e-06
1,27.5340003967285,-3117,8.18400001525879,150.121918,35.944811,0.160934,0.763967
1,27.5380001068115,-8,8.13199996948242,197.592575,38.635504,0.141425,2e-06
1,29.0340003967285,-4629,8.18400001525879,178.481323,35.38169,0.13283,0.233475
1,27.1730003356934,-256,8.13799953460693,32.246113,36.051238,0.520662,1.083634
1,27.4950008392334,-13,8.13300037384033,199.525269,38.692256,0.138178,3e-06
1,29.0370006561279,-4232,8.18000030517578,176.655579,35.471995,0.118457,0.143583
1,27.4790000915527,-12,8.13300037384033,198.351822,38.693469,0.139424,3e-06
1,28.1580009460449,-5200,8.17800045013428,182.667191,35.359748,0.170039,0.679988
1,27.7509994506836,-22,8.13300037384033,204.795105,38.607505,0.127578,6e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,26.7660007476807,-362,8.13700008392334,21.767525,36.01963,0.564374,1.281599
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.3819999694824,-4926,8.18299961090088,181.870346,35.355498,0.168176,0.520864
1,27.6219997406006,-11,8.13300037384033,197.924805,38.761449,0.138398,3e-06
1,26.451000213623,99,8.17300033569336,203.209549,35.648902,0.350679,2.118417
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.7700004577637,-8,8.13199996948242,196.976486,38.757497,0.148727,0.001802
1,26.9349994659424,-4233,8.17300033569336,174.422424,35.971305,0.215264,1.25887
1,27.6319999694824,-4196,8.1870002746582,155.524734,36.153051,0.138924,0.399445
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,27.6860008239746,-7,8.13300037384033,197.569351,38.741651,0.141028,8e-06
1,26.7929992675781,-2968,8.14299964904785,132.688782,36.096566,0.267906,0.642298
1,27.9780006408691,-3673,8.1850004196167,165.113815,35.839751,0.136196,0.477106
1,26.8640003204346,-2571,8.16100025177002,130.455185,35.958914,0.290891,1.020682
1,27.9990005493164,-2880,8.18599987030029,147.906082,35.846538,0.13288,0.43407
1,25.8980007171631,-29,8.12100028991699,194.23053,36.041822,1.033896,0.81186
1,26.2409992218018,-15,8.15100002288818,204.395615,36.516903,0.111161,0.002705
1,27.5540008544922,-9,8.13199996948242,197.539429,38.606552,0.1413,2e-06
1,26.4069995880127,-3066,8.13700008392334,136.996002,36.098196,0.462431,1.46047
1,27.7259998321533,-53,8.13500022888184,213.494812,38.367089,0.113444,0.000354
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.7059993743896,-2,8.13199996948242,197.194992,38.667218,0.141387,3e-06
1,26.4979991912842,-3050,8.13799953460693,136.988297,36.083691,0.477382,1.432907
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,28.1700000762939,0,8.13399982452393,197.454163,38.722734,0.123742,2.8e-05
1,26.4200000762939,-21,8.17300033569336,200.674881,35.645199,0.345451,2.082446
1,27.4930000305176,-13,8.13300037384033,198.470917,38.470926,0.138055,3e-06
1,26.9449996948242,-3604,8.13000011444092,130.46138,36.330964,0.209804,0.210103
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
1,27.8439998626709,-2328,8.18599987030029,124.8433,35.895277,0.137477,0.52855
1,28.0049991607666,-2953,8.1850004196167,148.878967,35.813941,0.140021,0.484226
1,28.0149993896484,2,8.13399982452393,197.265457,38.742545,0.128039,5.8e-05
1,27.7049999237061,-19,8.13300037384033,201.8936,38.709575,0.131977,4e-06
1,26.9300003051758,-2425,8.16199970245361,121.279388,35.947986,0.29399,1.101688
1,26.9379997253418,-532,8.12199974060059,1.284223,36.632164,0.190282,0.07157
1,27.6060009002686,-6,8.13300037384033,197.747635,38.673339,0.141344,2e-06
1,29.6889991760254,-3691,8.19499969482422,170.803925,35.170102,0.10273,0.065049
1,27.8509998321533,-4,8.13300037384033,197.816269,38.673048,0.140721,3e-06
