,occurrenceID,scientificName,dateIdentified,eventDate,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,individualCount,lifeStage,sex,bathymetry,shoredistance,sst,sss
121,1255_768687,Eretmochelys imbricata,2010-05-15T15:02:41/2010-05-18T14:33:14,2010-05-15T15:02:41/2010-05-18T14:33:14,24.5,56.5,111319.49,1,Adult,Female,-58,-8562,NA,NA
122,1257_61610,Eretmochelys imbricata,2011-04-25T18:24:28/2012-06-19T10:21:33,2011-04-25T18:24:28/2012-06-19T10:21:33,19.5,58.5,111319.49,4,Adult,Female,859,74943,26.03,36.22
123,1255_759903,Eretmochelys imbricata,2010-05-06T09:23:31/2010-05-06T09:23:31,2010-05-06T09:23:31/2010-05-06T09:23:31,24.5,62.5,111319.49,1,Adult,Female,2251,67282,27.25,36.65
124,1257_63518,Eretmochelys imbricata,2011-05-29T12:10:43/2011-05-29T14:52:22,2011-05-29T12:10:43/2011-05-29T14:52:22,23.5,51.5,111319.49,1,Adult,Female,-39,-63728,NA,NA
125,1255_768701,Eretmochelys imbricata,2010-05-01T09:38:42/2010-11-21T16:39:54,2010-05-01T09:38:42/2010-11-21T16:39:54,25.5,56.5,111319.49,3,Adult,Female,87,13077,28.48,36.85
126,802_694539,Eretmochelys imbricata,2012-09-27T06:29:54/2015-09-27T09:56:13,2012-09-27T06:29:54/2015-09-27T09:56:13,24.5,53.5,111319.49,11,Juvenile;Subadult,Unknown,14,13065,28.05,38.78
127,1282_191469,Eretmochelys imbricata,2012-11-15T07:30:14/2012-11-15T07:30:14,2012-11-15T07:30:14/2012-11-15T07:30:14,18.5,58.5,111319.49,1,Adult,Female,3360,88565,26.63,36.22
128,1255_768665,Eretmochelys imbricata,2010-05-15T14:22:45/2010-05-15T14:22:45,2010-05-15T14:22:45/2010-05-15T14:22:45,25.5,62.5,111319.49,1,Adult,Female,-100,-26012,NA,NA
129,1282_191472,Eretmochelys imbricata,2012-06-01T09:59:02/2012-11-29T07:47:48,2012-06-01T09:59:02/2012-11-29T07:47:48,18.5,57.5,111319.49,3,Adult,Female,117,48734,25.77,36.11
130,1282_280230,Eretmochelys imbricata,2013-05-22T17:58:37/2013-05-29T14:37:36,2013-05-22T17:58:37/2013-05-29T14:37:36,26.5,56.5,111319.49,1,Adult,Female,64,926,27.98,36.95
131,1282_217430,Eretmochelys imbricata,2012-05-02T14:04:45/2014-01-20T12:18:36,2012-05-02T14:04:45/2014-01-20T12:18:36,25.5,54.5,111319.49,10,Adult,Female,41,26028,28.29,38.66
132,802_692819,Eretmochelys imbricata,2015-06-09T07:05:47/2015-06-13T13:04:13,2015-06-09T07:05:47/2015-06-13T13:04:13,26.5,52.5,111319.49,1,Juvenile,Unknown,74,75521,27.75,38.37
133,1255_769323,Eretmochelys imbricata,2010-06-01T13:19:39/2010-06-01T13:19:39,2010-06-01T13:19:39/2010-06-01T13:19:39,27.5,54.5,111319.49,1,Adult,Female,-812,-87941,NA,NA
