BO_sstmean,BO_bathymean,BO22_ph,BO2_dissoxmean_bdmean,BO2_salinitymean_ss,BO2_chlomean_ss,BO21_nitratemean_ss
28.648000717163086,-3158,8.180999755859375,154.324478,35.735213,0.107879,0.132562
27.584999084472656,-8,8.133000373840332,197.658981,38.711394,0.141303,3e-6
27.55299949645996,-4,8.133000373840332,197.660294,38.652464,0.141299,2e-6
26.882999420166016,-2759,8.142000198364258,127.380913,36.10051,0.293972,0.691326
26.941999435424805,-2067,8.138999938964844,98.572151,36.049623,0.517558,1.127677
27.606000900268555,-6,8.133000373840332,197.747635,38.673339,0.141344,2e-6
27.55299949645996,-7,8.131999969482422,197.713913,38.572768,0.140988,2e-6
27.55299949645996,-4,8.133000373840332,197.660294,38.652464,0.141299,2e-6
26.820999145507812,-2871,8.142000198364258,132.642487,36.096601,0.299823,0.709584
27.305999755859375,-2810,8.152000427246094,134.48349,36.044637,0.271673,0.701859
27.55299949645996,-4,8.133000373840332,197.660294,38.652464,0.141299,2e-6
27.70599937438965,-2,8.131999969482422,197.194992,38.667218,0.141387,3e-6
27.920000076293945,-7,8.131999969482422,196.982697,38.757844,0.14883,0.001783
26.81100082397461,-3330,8.144000053405762,142.299942,36.094625,0.2419,0.601283
27.85099983215332,-4,8.133000373840332,197.816269,38.673048,0.140721,3e-6
27.33799934387207,-3664,8.182000160217285,162.14415,35.922485,0.173306,0.919826
27.993999481201172,-18,8.133999824523926,199.05217,38.732417,0.125953,3.7e-5
26.992000579833984,-2217,8.163000106811523,96.251183,35.974316,0.285169,0.600942
27.516000747680664,-2,8.131999969482422,197.502701,38.081113,0.136633,3e-6
27.554000854492188,-9,8.131999969482422,197.539429,38.606552,0.1413,2e-6
27.85099983215332,-4,8.133000373840332,197.816269,38.673048,0.140721,3e-6
27.85099983215332,-4,8.133000373840332,197.816269,38.673048,0.140721,3e-6
27.243999481201172,-1,8.121999740600586,203.070831,36.668169,0.187444,0.077169
25.768999099731445,-6,8.121000289916992,210.3983,36.10209,1.025573,1.084952
27.295000076293945,-1833,8.140000343322754,74.933098,36.065839,0.49364,1.081593
28.35099983215332,-4914,8.182999610900879,181.835495,35.355749,0.167548,0.530473
26.673999786376953,-308,8.13599967956543,25.2966,36.007704,0.592055,1.323047
27.606000900268555,-6,8.133000373840332,197.747635,38.673339,0.141344,2e-6
28.347000122070312,-4895,8.182999610900879,181.797546,35.355737,0.167055,0.53581
28.08799934387207,-5,8.133999824523926,197.94931,38.644236,0.121566,3.2e-5
26.809999465942383,-2897,8.144000053405762,132.700089,36.095668,0.245459,0.604341
27.516000747680664,-2,8.131999969482422,197.502701,38.081113,0.136633,3e-6
28.98699951171875,-4700,8.182999610900879,178.436401,35.391144,0.131328,0.220254
26.516000747680664,-2434,8.137999534606934,118.693497,36.04668,0.519006,1.404393
27.85099983215332,-4,8.133000373840332,197.816269,38.673048,0.140721,3e-6
27.6299991607666,-4761,8.184000015258789,179.7668,35.540579,0.174956,0.99783
27.85099983215332,-4,8.133000373840332,197.816269,38.673048,0.140721,3e-6
28.79199981689453,-4770,8.187000274658203,180.238785,35.351872,0.152315,0.394475
27.479000091552734,-12,8.133000373840332,198.351822,38.693469,0.139424,3e-6
28.53499984741211,-4588,8.187000274658203,181.349731,35.345523,0.163404,0.423076
27.516000747680664,-2,8.131999969482422,197.502701,38.081113,0.136633,3e-6
27.94700050354004,-18,8.131999969482422,199.486877,38.766835,0.151671,0.002393
28.69099998474121,-4671,8.187000274658203,180.688889,35.347716,0.156011,0.412817
29.320999145507812,-3208,8.175999641418457,156.871735,35.519486,0.077764,0.026268
27.506000518798828,-16,8.133000373840332,200.322769,38.647342,0.140592,3e-6
26.863000869750977,-2328,8.149999618530273,113.653526,36.082827,0.220184,0.653461
28.631000518798828,-17,8.131999969482422,199.503204,38.805282,0.153797,0.002652
27.55699920654297,-8,8.133000373840332,197.805374,38.635834,0.141215,2e-6
27.003999710083008,-2484,8.157999992370605,118.873863,35.997126,0.291057,0.844573
27.48699951171875,-13,8.133000373840332,198.696121,38.591694,0.140571,3e-6
26.97800064086914,-2263,8.145999908447266,108.541618,36.092094,0.232844,0.625438
27.67799949645996,-12,8.133000373840332,197.768616,38.782016,0.13914,3e-6
27.85099983215332,-4,8.133000373840332,197.816269,38.673048,0.140721,3e-6
26.829999923706055,-2850,8.14799976348877,129.345963,36.089176,0.218826,0.618118
27.55699920654297,-8,8.133000373840332,197.805374,38.635834,0.141215,2e-6
27.606000900268555,-6,8.133000373840332,197.747635,38.673339,0.141344,2e-6
28.170000076293945,0,8.133999824523926,197.454163,38.722734,0.123742,2.8e-5
28.08799934387207,-5,8.133999824523926,197.94931,38.644236,0.121566,3.2e-5
28.965999603271484,-3960,8.180999755859375,174.50322,35.458393,0.122263,0.162169
29.648000717163086,-3080,8.187000274658203,163.987656,35.187344,0.101643,0.068822
27.55299949645996,-4,8.133000373840332,197.660294,38.652464,0.141299,2e-6
27.860000610351562,-7,8.131999969482422,197.019318,38.900669,0.157828,0.002918
26.743000030517578,98,8.17300033569336,203.153458,35.631042,0.332252,1.992803
27.937000274658203,-30,8.133000373840332,209.133301,38.601348,0.120716,1e-5
28.08799934387207,-5,8.133999824523926,197.94931,38.644236,0.121566,3.2e-5
28.507999420166016,-2887,8.182000160217285,150.229172,35.745926,0.115095,0.180419
27.479000091552734,-12,8.133000373840332,198.351822,38.693469,0.139424,3e-6
27.60099983215332,-14,8.133000373840332,199.691467,38.730509,0.135807,3e-6
